"NewPosition","OriginalPosition","Title","Href","SortTitle","Moved"
"1","8","4"" Groovy Mc Supersized (Skull)","../../items/4-groovy-mc-supersized-skull-164.html","4"" groovy mc supersized (skull)","Yes"
"2","28","Abraham Obama - Black","../../items/abraham-obama-black-435.html","abraham obama black","Yes"
"3","29","Abraham Obama - Bronze","../../items/abraham-obama-bronze-703.html","abraham obama bronze","Yes"
"4","30","Abraham Obama - Gold","../../items/abraham-obama-gold-929.html","abraham obama gold","Yes"
"5","31","Abraham Obama - Green","../../items/abraham-obama-green-932.html","abraham obama green","Yes"
"6","32","Abraham Obama - Inauguration","../../items/abraham-obama-inauguration-67.html","abraham obama inauguration","Yes"
"7","33","Abraham Obama - Original Colors","../../items/abraham-obama-original-colors-286.html","abraham obama original colors","Yes"
"8","34","Abraham Obama - Silver","../../items/abraham-obama-silver-264.html","abraham obama silver","Yes"
"9","35","Abraham Obama - White","../../items/abraham-obama-white-293.html","abraham obama white","Yes"
"10","37","American Depress","../../items/american-depress-682.html","american depress","Yes"
"11","38","Artist Gnome - GID (SDCC '16)","../../items/artist-gnome-gid-sdcc-16-601.html","artist gnome gid (sdcc '16)","Yes"
"12","39","Artist Gnome - Golden Hair (ComplexCon '16)","../../items/artist-gnome-golden-hair-complexcon-16-329.html","artist gnome golden hair (complexcon '16)","Yes"
"13","40","Artist Gnome - OG Edition","../../items/artist-gnome-og-edition-684.html","artist gnome og edition","Yes"
"14","41","Astro Boy Grin","../../items/astro-boy-grin-501.html","astro boy grin","Yes"
"15","42","Astro Boy Grin - Bronze Patina","../../items/astro-boy-grin-bronze-patina-154.html","astro boy grin bronze patina","Yes"
"16","43","Astro Boy Grin - Metallic","../../items/astro-boy-grin-metallic-1048.html","astro boy grin metallic","Yes"
"17","15","Atomic Orange Charlie Grin (+NFT)","../../items/48-atomic-orange-charlie-grin-nft-762.html","atomic orange charlie grin (+nft)","Yes"
"18","45","Atomic Orange Charlie Grin (+NFT)","../../items/atomic-orange-charlie-grin-sunflower-nft-1001.html","atomic orange charlie grin (+nft)","Yes"
"19","47","Barney Grin - Grayscale","../../items/barney-grin-grayscale-493.html","barney grin grayscale","Yes"
