"Number","Status","OldTitle","NewTitle","Href","Detail"
"1","Updated","Action Figure Dark Star Grin","Dark Star Grin","../../../items/dark-star-grin-390.html","Cleaned Action Figure wording from card title."
"2","Updated","Action Figure Dark Star Grin - Gold","Dark Star Grin - Gold","../../../items/gold-dark-star-grin-987.html","Cleaned Action Figure wording from card title."
"3","Updated","Action Figure - Gold Iron Skin Grin","Iron Skin Grin - Gold","../../../items/gold-iron-skin-grin-689.html","Cleaned Action Figure wording from card title."
"4","Updated","Action Figure - Gold Police Grin","Police Grin - Gold","../../../items/gold-police-grin-834.html","Cleaned Action Figure wording from card title."
"5","Updated","Action Figure - Iron Skin Grin","Iron Skin Grin","../../../items/iron-skin-grin-635.html","Cleaned Action Figure wording from card title."
"6","Updated","Action Figure Police Grin - Gay Empire","Police Grin - Gay Empire","../../../items/gay-empire-police-grin-303.html","Cleaned Action Figure wording from card title."
"7","Updated","Action Figure Police Grin - Gold","Police Grin - Gold","../../../items/gold-police-grin-604.html","Cleaned Action Figure wording from card title."
"8","Updated","Action Figure Police Grin - HipHop Trooper","Police Grin - HipHop Trooper","../../../items/hiphop-trooper-police-grin-202.html","Cleaned Action Figure wording from card title."
"9","Updated","Action Figure Police Grin - Silver AP","Police Grin - Silver AP","../../../items/silver-ap-police-grin-384.html","Cleaned Action Figure wording from card title."
"10","Updated","Action Figure Police Grin - White","Police Grin - White","../../../items/white-police-grin-212.html","Cleaned Action Figure wording from card title."
"11","Updated","MC Action Figure","MC","../../../items/mc-action-811.html","Cleaned Action Figure wording from card title."
"12","Updated","MC Supersized Action Figure","MC Supersized","../../../items/mc-supersized-647.html","Cleaned Action Figure wording from card title."
"13","Updated","OK Doomer - Gold Old Chuck","OK Doomer - Old Chuck - Gold","../../../items/gold-old-chuck-ok-doomer-422.html","Cleaned Action Figure wording from card title."
"14","Updated","OK Doomer - Old Chuck GID","OK Doomer - Old Chuck - GID","../../../items/gid-ok-doomer-old-chuck-625.html","Cleaned Action Figure wording from card title."
"15","Updated","Police Grin Action Figure - White (SDCC '20)","Police Grin - White (SDCC '20)","../../../items/white-police-grin-action-figure-sdcc-20-60.html","Cleaned Action Figure wording from card title."
"999999","Index updated","toys/art-toys-and-editions/action-figure/index.html","toys/art-toys-and-editions/action-figure/index.html","","Backed up to: D:\github-backups\ron-english-toys\clean-action-figures-index-titles-v1-20260513-113428\toys\art-toys-and-editions\action-figure\index.html"
