"Action","SourceRel","Status","BackupRel","Detail"
"Move to backup","data/generated/build-sculpture-pages-from-json-v1-20260512-132416","Moved","data/generated/build-sculpture-pages-from-json-v1-20260512-132416","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/build-sculpture-pages-from-json-v3-20260512-133800","Moved","data/generated/build-sculpture-pages-from-json-v3-20260512-133800","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/final-cleanup-sculpture-pages-and-indexes-v1-20260512-140614","Moved","data/generated/final-cleanup-sculpture-pages-and-indexes-v1-20260512-140614","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/final-cleanup-sculpture-pages-and-indexes-v3-20260512-141239","Moved","data/generated/final-cleanup-sculpture-pages-and-indexes-v3-20260512-141239","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/format-money-no-decimals-v1-20260512-150204","Moved","data/generated/format-money-no-decimals-v1-20260512-150204","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/format-money-values-with-commas-v1-20260512-150013","Moved","data/generated/format-money-values-with-commas-v1-20260512-150013","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/format-sculpture-individual-pages-v1-20260512-125054","Moved","data/generated/format-sculpture-individual-pages-v1-20260512-125054","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/format-sculpture-individual-pages-v1-20260512-125235","Moved","data/generated/format-sculpture-individual-pages-v1-20260512-125235","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/format-sculpture-individual-pages-v3-20260512-130131","Moved","data/generated/format-sculpture-individual-pages-v3-20260512-130131","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/format-sculpture-individual-pages-v4-20260512-130444","Moved","data/generated/format-sculpture-individual-pages-v4-20260512-130444","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/format-sculpture-individual-pages-v4-20260512-130558","Moved","data/generated/format-sculpture-individual-pages-v4-20260512-130558","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/image-match-audit-20260512-085930","Moved","data/generated/image-match-audit-20260512-085930","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/image-match-audit-20260512-090126","Moved","data/generated/image-match-audit-20260512-090126","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/image-match-audit-20260512-090342","Moved","data/generated/image-match-audit-20260512-090342","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/image-match-audit-20260512-091415","Moved","data/generated/image-match-audit-20260512-091415","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/missing-image-fix-20260512-091004","Moved","data/generated/missing-image-fix-20260512-091004","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/populate-approved-sculptures-v2-20260512-122941","Moved","data/generated/populate-approved-sculptures-v2-20260512-122941","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/populate-approved-sculptures-v3-20260512-123258","Moved","data/generated/populate-approved-sculptures-v3-20260512-123258","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/remove-1-to-1-from-toy-titles-v1-20260512-145702","Moved","data/generated/remove-1-to-1-from-toy-titles-v1-20260512-145702","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/restyle-art-toys-custom-individual-pages-uniform-v2-20260512-143151","Moved","data/generated/restyle-art-toys-custom-individual-pages-uniform-v2-20260512-143151","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/restyle-art-toys-custom-individual-pages-uniform-v3-20260512-143921","Moved","data/generated/restyle-art-toys-custom-individual-pages-uniform-v3-20260512-143921","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/restyle-art-toys-custom-individual-pages-uniform-v4-20260512-144507","Moved","data/generated/restyle-art-toys-custom-individual-pages-uniform-v4-20260512-144507","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/restyle-art-toys-custom-individual-pages-uniform-v6-20260512-145126","Moved","data/generated/restyle-art-toys-custom-individual-pages-uniform-v6-20260512-145126","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/restyle-sculpture-pages-and-indexes-catalogue-uniform-v1-20260512-140058","Moved","data/generated/restyle-sculpture-pages-and-indexes-catalogue-uniform-v1-20260512-140058","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/restyle-sculpture-pages-catalogue-uniform-v1-20260512-134546","Moved","data/generated/restyle-sculpture-pages-catalogue-uniform-v1-20260512-134546","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/restyle-sculpture-pages-catalogue-uniform-v2-20260512-135140","Moved","data/generated/restyle-sculpture-pages-catalogue-uniform-v2-20260512-135140","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/sculpture-candidates-20260512-112410","Moved","data/generated/sculpture-candidates-20260512-112410","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/sculpture-candidates-20260512-112649","Moved","data/generated/sculpture-candidates-20260512-112649","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/alphabetize-art-toys-and-editions-index-v1-report-20260513-090928.csv","Moved","data/generated/alphabetize-art-toys-and-editions-index-v1-report-20260513-090928.csv","Existing generated report/data file; not needed on live GitHub Pages site."
