"PageTitle","LocalPagePath","PageType","SectionGuess","LinkText","Href","Domain","InitialBucket","IsExternalHttp","IsRonEnglishArchiveNavigation","IsTrampt"
"1/2 dollar","items\1-2-dollar-139.html","Individual item page","Custom Toys","","../images/Trampt/12%20dollar%20-%20ART%20PRINT.jpeg","","Local/internal link","False","False","False"
"1/2 dollar","items\1-2-dollar-139.html","Individual item page","Custom Toys","Repository home","../index.html","","Local/internal link","False","False","False"
"1/2 dollar","items\1-2-dollar-139.html","Individual item page","Custom Toys","Original Art","../original-art/index.html","","Local/internal link","False","False","False"
"1/2 dollar","items\1-2-dollar-139.html","Individual item page","Custom Toys","Art Prints","../prints/index.html","","Local/internal link","False","False","False"
"1/2 dollar","items\1-2-dollar-139.html","Individual item page","Custom Toys","Back to A-Z index","../toys/a-z/index.html","","Local/internal link","False","False","False"
"1/2 dollar","items\1-2-dollar-139.html","Individual item page","Custom Toys","Custom Toys","../toys/custom-toys/index.html","","Local/internal link","False","False","False"
"1/2 dollar","items\1-2-dollar-139.html","Individual item page","Custom Toys","Designer Toys","../toys/designer-toys/index.html","","Local/internal link","False","False","False"
"1/2 dollar","items\1-2-dollar-139.html","Individual item page","Custom Toys","Toys","../toys/index.html","","Local/internal link","False","False","False"
"1/2 dollar","items\1-2-dollar-139.html","Individual item page","Custom Toys","Open Trampt source record","https://www.trampt.com/item/1-2-dollar-ron-english-giclee-art-print-tf5OMmdJyAj0rb","www.trampt.com","Review carefully - Trampt/public-source rule","True","False","True"
"Abraham Obama","items\abraham-obama-611.html","Individual item page","Custom Toys","","../images/Trampt/Abraham%20Obama%20-%20ART%20PRINT.jpeg","","Local/internal link","False","False","False"
"Abraham Obama","items\abraham-obama-611.html","Individual item page","Custom Toys","Repository home","../index.html","","Local/internal link","False","False","False"
"Abraham Obama","items\abraham-obama-611.html","Individual item page","Custom Toys","Original Art","../original-art/index.html","","Local/internal link","False","False","False"
"Abraham Obama","items\abraham-obama-611.html","Individual item page","Custom Toys","Art Prints","../prints/index.html","","Local/internal link","False","False","False"
"Abraham Obama","items\abraham-obama-611.html","Individual item page","Custom Toys","Back to A-Z index","../toys/a-z/index.html","","Local/internal link","False","False","False"
"Abraham Obama","items\abraham-obama-611.html","Individual item page","Custom Toys","Custom Toys","../toys/custom-toys/index.html","","Local/internal link","False","False","False"
"Abraham Obama","items\abraham-obama-611.html","Individual item page","Custom Toys","Designer Toys","../toys/designer-toys/index.html","","Local/internal link","False","False","False"
"Abraham Obama","items\abraham-obama-611.html","Individual item page","Custom Toys","Toys","../toys/index.html","","Local/internal link","False","False","False"
"Abraham Obama","items\abraham-obama-611.html","Individual item page","Custom Toys","Open Trampt source record","https://www.trampt.com/item/abraham-obama-ron-english-screenprint-5t2JV9Er8LF7-F","www.trampt.com","Review carefully - Trampt/public-source rule","True","False","True"
"Abraham Obama - Black","items\abraham-obama-black-435.html","Individual item page","Custom Toys","","../images/Trampt/Abraham%20Obama%20-%20Black%20-%20DESIGNER%20TOY.jpeg","","Local/internal link","False","False","False"
"Abraham Obama - Black","items\abraham-obama-black-435.html","Individual item page","Custom Toys","Section home","../index.html","","Local/internal link","False","False","False"
"Abraham Obama - Black","items\abraham-obama-black-435.html","Individual item page","Custom Toys","Sculptures","../sculptures/index.html","","Local/internal link","False","False","False"
"Abraham Obama - Black","items\abraham-obama-black-435.html","Individual item page","Custom Toys","Art Toys & Editions","../toys/art-toys-and-editions/index.html","","Local/internal link","False","False","False"
"Abraham Obama - Black","items\abraham-obama-black-435.html","Individual item page","Custom Toys","Back to Art Toys & Editions","../toys/art-toys-and-editions/index.html","","Local/internal link","False","False","False"
"Abraham Obama - Black","items\abraham-obama-black-435.html","Individual item page","Custom Toys","Custom Toys","../toys/custom-toys/index.html","","Local/internal link","False","False","False"
"Abraham Obama - Black","items\abraham-obama-black-435.html","Individual item page","Custom Toys","Catalogue home","https://ronenglish-archive.github.io/ron-english-catalogue-raisonne/","ronenglish-archive.github.io","Internal Ron English site/navigation","True","True","False"
