"HTMLFileName","RelativePath","LocalHTMLPath","PublicPageURL","CurrentCategoryFromIndex","CurrentIndexFiles","CurrentIndexCardTitles","CurrentIndexMembershipCount","H1","TitleTag","MetaTitle","MetaDate","MetaObjectType","MetaMedium","MetaMaterial","MetaDimensions","MetaEdition","MetaManufacturer","MetaPublisher","MetaWorkID","MetaSignatureMarks","WorkMetaRaw","HeroImageSrc_CurrentHTML","HeroImageFileName_CurrentHTML","HeroImageResolvedPath_CurrentHTML","HeroImageExists_CurrentHTML","ImageRefs_All_CurrentHTML","OtherImageRefs_CurrentHTML","NotesText_CurrentHTML","LiteratureText_CurrentHTML","ExhibitionsText_CurrentHTML","AncillaryDocumentationText_CurrentHTML","SelectedOnlineCirculationText_CurrentHTML","ExternalLinks_CurrentHTML","VerificationStatus","VerificationNotes","ProposedFinalTitle","ProposedFinalCategory","ProposedAction"
"100-400-have-a-grin-day-be-rbrick-set-809.html","items\100-400-have-a-grin-day-be-rbrick-set-809.html","D:\github\ron-english-toys\items\100-400-have-a-grin-day-be-rbrick-set-809.html","https://ronenglish-archive.github.io/ron-english-toys/items/100-400-have-a-grin-day-be-rbrick-set-809.html","","toys\art-toys-and-editions\bearbrick\index.html","Be@rbrick Set Have a Grin Day","1","Be@rbrick Set - Have a Grin Day","Be@rbrick Set - Have a Grin Day - Ron English Toys","100% + 400% Have a Grin Day Be@rbrick (Set)",,"Art toy / edition",,,,,,,,,"Title: 100% + 400% Have a Grin Day Be@rbrick (Set) || Object type: Art toy / edition || Artist / creator: Ron English || Manufacturer / maker: Medicom Toy || Platform: Bearbrick || Height: 11.00""","../images/Vinyl-Toys/100%25%20%2B%20400%25%20Have%20a%20Grin%20Day%20Be%40rbrick%20(Set)%20-%20DESIGNER%20TOY.jpeg","100% + 400% Have a Grin Day Be@rbrick (Set) - DESIGNER TOY.jpeg","images\Vinyl-Toys\100% + 400% Have a Grin Day Be@rbrick (Set) - DESIGNER TOY.jpeg","TRUE","../images/Vinyl-Toys/100%25%20%2B%20400%25%20Have%20a%20Grin%20Day%20Be%40rbrick%20(Set)%20-%20DESIGNER%20TOY.jpeg","","","","","","","https://ronenglish-archive.github.io/ron-english-catalogue-raisonne/","Needs verification","","","",""
"100-400-ron-english-bearbrick-set-7.html","items\100-400-ron-english-bearbrick-set-7.html","D:\github\ron-english-toys\items\100-400-ron-english-bearbrick-set-7.html","https://ronenglish-archive.github.io/ron-english-toys/items/100-400-ron-english-bearbrick-set-7.html","","toys\art-toys-and-editions\bearbrick\index.html","Be@rbrick Set","1","Be@rbrick Set","Be@rbrick Set - Ron English Catalogue Raisonne","100% + 400% Ron English Bearbrick (Set)",,"Art toy / edition",,,,,,,,,"Title: 100% + 400% Ron English Bearbrick (Set) || Object type: Art toy / edition || Artist / creator: Ron English || Manufacturer / maker: Medicom Toy || Platform: Bearbrick || Release date: July 1, 2007 || Height: 11.00""","../images/Vinyl-Toys/100%25%20%2B%20400%25%20Ron%20English%20Bearbrick%20(Set)%20-%20DESIGNER%20TOY.jpeg","100% + 400% Ron English Bearbrick (Set) - DESIGNER TOY.jpeg","images\Vinyl-Toys\100% + 400% Ron English Bearbrick (Set) - DESIGNER TOY.jpeg","TRUE","../images/Vinyl-Toys/100%25%20%2B%20400%25%20Ron%20English%20Bearbrick%20(Set)%20-%20DESIGNER%20TOY.jpeg","","","","","","","https://ronenglish-archive.github.io/ron-english-catalogue-raisonne/","Needs verification","","","",""
"100-bearbrick-x-ronenglish-dcon-2025-444.html","items\100-bearbrick-x-ronenglish-dcon-2025-444.html","D:\github\ron-english-toys\items\100-bearbrick-x-ronenglish-dcon-2025-444.html","https://ronenglish-archive.github.io/ron-english-toys/items/100-bearbrick-x-ronenglish-dcon-2025-444.html","Custom Toys | Toys landing","toys\custom-toys\index.html | toys\index.html","Bearbrick x RonEnglish (DCon 2025)","2","Bearbrick x RonEnglish (DCon 2025)","Bearbrick x RonEnglish (DCon 2025) - Ron English Catalogue Raisonne","100% Bearbrick x RonEnglish DCon 2025",,"Custom toy",,,,,,,,,"Title: 100% Bearbrick x RonEnglish DCon 2025 || Object type: Custom toy || Artist / creator: Ron English || Platform: Bearbrick || Release date: November 14, 2025","../images/Vinyl-Toys/100%25%20Bearbrick%20x%20RonEnglish%20DCon%202025%20-%20Custom%20Toy%20-%20Trampt%20item%20444.jpeg","100% Bearbrick x RonEnglish DCon 2025 - Custom Toy - Trampt item 444.jpeg","images\Vinyl-Toys\100% Bearbrick x RonEnglish DCon 2025 - Custom Toy - Trampt item 444.jpeg","TRUE","../images/Vinyl-Toys/100%25%20Bearbrick%20x%20RonEnglish%20DCon%202025%20-%20Custom%20Toy%20-%20Trampt%20item%20444.jpeg","","","","","","","https://ronenglish-archive.github.io/ron-english-catalogue-raisonne/","Needs verification","","","",""
"1-2-dollar-139.html","items\1-2-dollar-139.html","D:\github\ron-english-toys\items\1-2-dollar-139.html","https://ronenglish-archive.github.io/ron-english-toys/items/1-2-dollar-139.html","","","","","1/2 dollar","1/2 dollar - Ron English Toys and Sculptural Editions",,,,,,,,,,,,"","../images/Vinyl-Toys/12%20dollar%20-%20ART%20PRINT.jpeg","12 dollar - ART PRINT.jpeg","images\Vinyl-Toys\12 dollar - ART PRINT.jpeg","TRUE","../images/Vinyl-Toys/12%20dollar%20-%20ART%20PRINT.jpeg","","","","","","","https://www.trampt.com/item/1-2-dollar-ron-english-giclee-art-print-tf5OMmdJyAj0rb","Needs verification","","","",""
"3-grin-dunny-6.html","items\3-grin-dunny-6.html","D:\github\ron-english-toys\items\3-grin-dunny-6.html","https://ronenglish-archive.github.io/ron-english-toys/items/3-grin-dunny-6.html","","toys\art-toys-and-editions\dunny\index.html","Grin Dunny 3","1","Grin Dunny - 3","Grin Dunny - 3 - Ron English Catalogue Raisonne","3"" Grin Dunny",,"Art toy / edition",,,,,,,,,"Title: 3"" Grin Dunny || Object type: Art toy / edition || Artist / creator: Ron English || Manufacturer / maker: Kidrobot || Platform: Dunny || Release date: November 8, 2012 || Height: 3.00"" || Original retail price: $9","../images/Vinyl-Toys/3%20Grin%20Dunny%20-%20DESIGNER%20TOY.jpeg","3 Grin Dunny - DESIGNER TOY.jpeg","images\Vinyl-Toys\3 Grin Dunny - DESIGNER TOY.jpeg","TRUE","../images/Vinyl-Toys/3%20Grin%20Dunny%20-%20DESIGNER%20TOY.jpeg","","","","","","","https://ronenglish-archive.github.io/ron-english-catalogue-raisonne/","Needs verification","","","",""
"3rd-edition-x-ray-mc-supersized-662.html","items\3rd-edition-x-ray-mc-supersized-662.html","D:\github\ron-english-toys\items\3rd-edition-x-ray-mc-supersized-662.html","https://ronenglish-archive.github.io/ron-english-toys/items/3rd-edition-x-ray-mc-supersized-662.html","","toys\art-toys-and-editions\mc\mc-x-ray\index.html","MC Supersized 3rd Edition X-Ray","1","MC Supersized - 3rd Edition X-Ray","MC Supersized - 3rd Edition X-Ray - Ron English Catalogue Raisonne","3rd Edition X-Ray MC Supersized",,"Art toy / edition",,,,"100",,,,,"Title: 3rd Edition X-Ray MC Supersized || Object type: Art toy / edition || Artist / creator: Ron English || Manufacturer / maker: Secret Base || Platform: MC Supersized || Height: 6.00"" || Edition: 100","../images/Vinyl-Toys/3rd%20Edition%20X-Ray%20MC%20Supersized%20-%20DESIGNER%20TOY.jpeg","3rd Edition X-Ray MC Supersized - DESIGNER TOY.jpeg","images\Vinyl-Toys\3rd Edition X-Ray MC Supersized - DESIGNER TOY.jpeg","TRUE","../images/Vinyl-Toys/3rd%20Edition%20X-Ray%20MC%20Supersized%20-%20DESIGNER%20TOY.jpeg","","","","","","","https://ronenglish-archive.github.io/ron-english-catalogue-raisonne/","Needs verification","","","",""
"3-the-simpsons-bart-grin-81.html","items\3-the-simpsons-bart-grin-81.html","D:\github\ron-english-toys\items\3-the-simpsons-bart-grin-81.html","https://ronenglish-archive.github.io/ron-english-toys/items/3-the-simpsons-bart-grin-81.html","","toys\art-toys-and-editions\bart-grin\index.html","Bart Grin Stubby","1","Bart Grin - Stubby","Bart Grin - Stubby - Ron English Toys","3"" The Simpsons : Bart Grin",,"Art toy / edition",,,,,,,,,"Title: 3"" The Simpsons : Bart Grin || Object type: Art toy / edition || Artist / creator: Ron English || Manufacturer / maker: Kidrobot || Platform: The Simpsons || Release date: October 28, 2015 || Height: 3.00"" || Original retail price: $14","../images/Vinyl-Toys/3%20The%20Simpsons%20Bart%20Grin%20-%20DESIGNER%20TOY.jpeg","3 The Simpsons Bart Grin - DESIGNER TOY.jpeg","images\Vinyl-Toys\3 The Simpsons Bart Grin - DESIGNER TOY.jpeg","TRUE","../images/Vinyl-Toys/3%20The%20Simpsons%20Bart%20Grin%20-%20DESIGNER%20TOY.jpeg","","","","","","","https://ronenglish-archive.github.io/ron-english-catalogue-raisonne/","Needs verification","","","",""
"3-the-simpsons-homer-grin-59.html","items\3-the-simpsons-homer-grin-59.html","D:\github\ron-english-toys\items\3-the-simpsons-homer-grin-59.html","https://ronenglish-archive.github.io/ron-english-toys/items/3-the-simpsons-homer-grin-59.html","","toys\art-toys-and-editions\homer\index.html","Homer Grin","1","Homer Grin","Homer Grin - Ron English Toys","3"" The Simpsons : Homer Grin",,"Art toy / edition",,,,,,,,,"Title: 3"" The Simpsons : Homer Grin || Object type: Art toy / edition || Artist / creator: Ron English || Manufacturer / maker: Kidrobot || Platform: The Simpsons || Release date: October 28, 2015 || Height: 3.00"" || Original retail price: $14","../images/Vinyl-Toys/3%20The%20Simpsons%20Homer%20Grin%20-%20DESIGNER%20TOY.jpeg","3 The Simpsons Homer Grin - DESIGNER TOY.jpeg","images\Vinyl-Toys\3 The Simpsons Homer Grin - DESIGNER TOY.jpeg","TRUE","../images/Vinyl-Toys/3%20The%20Simpsons%20Homer%20Grin%20-%20DESIGNER%20TOY.jpeg","","","","","","","https://ronenglish-archive.github.io/ron-english-catalogue-raisonne/","Needs verification","","","",""
"4-75-boxing-brain-clear-left-hand-288.html","items\4-75-boxing-brain-clear-left-hand-288.html","D:\github\ron-english-toys\items\4-75-boxing-brain-clear-left-hand-288.html","https://ronenglish-archive.github.io/ron-english-toys/items/4-75-boxing-brain-clear-left-hand-288.html","","toys\art-toys-and-editions\boxing-brain\index.html","Boxing Brain (Left Hand) Clear","1","Boxing Brain (Left Hand) - Clear","Boxing Brain (Left Hand) - Clear - Ron English Catalogue Raisonne","4.75"" Boxing Brain Clear (Left Hand)",,"Art toy / edition",,,,,,,,,"Title: 4.75"" Boxing Brain Clear (Left Hand) || Object type: Art toy / edition || Artist / creator: Ron English || Manufacturer / maker: ToyQube || Platform: Boxing Brain || Height: 4.75""","../images/Vinyl-Toys/4.75%20Boxing%20Brain%20Clear%20(Left%20Hand)%20-%20DESIGNER%20TOY.jpeg","4.75 Boxing Brain Clear (Left Hand) - DESIGNER TOY.jpeg","images\Vinyl-Toys\4.75 Boxing Brain Clear (Left Hand) - DESIGNER TOY.jpeg","TRUE","../images/Vinyl-Toys/4.75%20Boxing%20Brain%20Clear%20(Left%20Hand)%20-%20DESIGNER%20TOY.jpeg","","","","","","","https://ronenglish-archive.github.io/ron-english-catalogue-raisonne/","Needs verification","","","",""
"4-75-boxing-brain-clear-right-hand-650.html","items\4-75-boxing-brain-clear-right-hand-650.html","D:\github\ron-english-toys\items\4-75-boxing-brain-clear-right-hand-650.html","https://ronenglish-archive.github.io/ron-english-toys/items/4-75-boxing-brain-clear-right-hand-650.html","","toys\art-toys-and-editions\boxing-brain\index.html","Boxing Brain (Right Hand) Clear","1","Boxing Brain (Right Hand) - Clear","Boxing Brain (Right Hand) - Clear - Ron English Catalogue Raisonne","4.75"" Boxing Brain Clear (Right Hand)",,"Art toy / edition",,,,,,,,,"Title: 4.75"" Boxing Brain Clear (Right Hand) || Object type: Art toy / edition || Artist / creator: Ron English || Manufacturer / maker: ToyQube || Platform: Boxing Brain || Height: 4.75""","../images/Vinyl-Toys/4.75%20Boxing%20Brain%20Clear%20(Right%20Hand)%20-%20DESIGNER%20TOY.jpeg","4.75 Boxing Brain Clear (Right Hand) - DESIGNER TOY.jpeg","images\Vinyl-Toys\4.75 Boxing Brain Clear (Right Hand) - DESIGNER TOY.jpeg","TRUE","../images/Vinyl-Toys/4.75%20Boxing%20Brain%20Clear%20(Right%20Hand)%20-%20DESIGNER%20TOY.jpeg","","","","","","","https://ronenglish-archive.github.io/ron-english-catalogue-raisonne/","Needs verification","","","",""
