"Action","Target","Status","Detail","BackupPath"
"Update main Art Toys index","toys/art-toys-and-editions/index.html","Updated","Updated affected categories; removed target pages/cards from main index.","D:\github-backups\ron-english-toys\fix-art-toy-categories-cereal-mouse-action-and-more-v1-20260513-105653\toys\art-toys-and-editions\index.html"
"Update category page","toys/art-toys-and-editions/cereal-killers/index.html","Updated","Updated Cereal Killers page with 58 item card(s).","D:\github-backups\ron-english-toys\fix-art-toy-categories-cereal-mouse-action-and-more-v1-20260513-105653\toys\art-toys-and-editions\cereal-killers\index.html"
"Create category page","toys/art-toys-and-editions/spongebob/index.html","Created","Created SpongeBob page with 7 item card(s).",""
"Create category page","toys/art-toys-and-editions/patrick/index.html","Created","Created Patrick page with 1 item card(s).",""
"Update category page","toys/art-toys-and-editions/mousezilla/index.html","Updated","Updated Mousezilla page with 18 item card(s).","D:\github-backups\ron-english-toys\fix-art-toy-categories-cereal-mouse-action-and-more-v1-20260513-105653\toys\art-toys-and-editions\mousezilla\index.html"
"Create category page","toys/art-toys-and-editions/storm-parter/index.html","Created","Created Storm Parter page with 4 item card(s).",""
"Update category page","toys/art-toys-and-editions/sunflower/index.html","Updated","Updated Sunflower page with 37 item card(s).","D:\github-backups\ron-english-toys\fix-art-toy-categories-cereal-mouse-action-and-more-v1-20260513-105653\toys\art-toys-and-editions\sunflower\index.html"
"Update category page","toys/art-toys-and-editions/grinbot/index.html","Updated","Updated Grinbot page with 5 item card(s).","D:\github-backups\ron-english-toys\fix-art-toy-categories-cereal-mouse-action-and-more-v1-20260513-105653\toys\art-toys-and-editions\grinbot\index.html"
"Create category page","toys/art-toys-and-editions/grin-rabbbit-x-tower-records/index.html","Created","Created Grin Rabbbit x Tower Records page with 2 item card(s).",""
"Update category page","toys/art-toys-and-editions/action-figure/index.html","Updated","Updated Action Figures page with 15 item card(s).","D:\github-backups\ron-english-toys\fix-art-toy-categories-cereal-mouse-action-and-more-v1-20260513-105653\toys\art-toys-and-editions\action-figure\index.html"
"Update category page","toys/art-toys-and-editions/mousemask/index.html","Updated","Updated Mousemask page with 31 item card(s).","D:\github-backups\ron-english-toys\fix-art-toy-categories-cereal-mouse-action-and-more-v1-20260513-105653\toys\art-toys-and-editions\mousemask\index.html"
"Remove cards","toys/art-toys-and-editions/dark-star-grin/index.html","Updated","Removed 2 action-only card(s).","D:\github-backups\ron-english-toys\fix-art-toy-categories-cereal-mouse-action-and-more-v1-20260513-105653\toys\art-toys-and-editions\dark-star-grin\index.html"
"Remove cards","toys/art-toys-and-editions/iron-skin/index.html","Updated","Removed 2 action-only card(s).","D:\github-backups\ron-english-toys\fix-art-toy-categories-cereal-mouse-action-and-more-v1-20260513-105653\toys\art-toys-and-editions\iron-skin\index.html"
"Remove cards","toys/art-toys-and-editions/mc/index.html","Updated","Removed 2 action-only card(s).","D:\github-backups\ron-english-toys\fix-art-toy-categories-cereal-mouse-action-and-more-v1-20260513-105653\toys\art-toys-and-editions\mc\index.html"
"Remove item page","items/obese-alien-411.html","Removed","HTML page removed after backup. Source images were not touched.","D:\github-backups\ron-english-toys\fix-art-toy-categories-cereal-mouse-action-and-more-v1-20260513-105653\items\obese-alien-411.html"
"Remove item page","items/old-chuck-578.html","Removed","HTML page removed after backup. Source images were not touched.","D:\github-backups\ron-english-toys\fix-art-toy-categories-cereal-mouse-action-and-more-v1-20260513-105653\items\old-chuck-578.html"
"Write main Art Toys index hero fixes","toys/art-toys-and-editions/index.html","Updated","Wrote hero image corrections.","D:\github-backups\ron-english-toys\fix-art-toy-categories-cereal-mouse-action-and-more-v1-20260513-105653\toys\art-toys-and-editions\index.html"
