"Action","Target","Status","Detail","BackupPath"
"Update HTML","toys/art-toys-and-editions/action-figure/index.html","Updated","","D:\github-backups\ron-english-toys\fix-art-toys-bart-grin-title-cleanup-and-remove-gnome-v1-20260513-114127\toys\art-toys-and-editions\action-figure\index.html"
"Update HTML","toys/art-toys-and-editions/artist-gnome/index.html","Updated","Removed 1 GID Artist Gnome card(s).","D:\github-backups\ron-english-toys\fix-art-toys-bart-grin-title-cleanup-and-remove-gnome-v1-20260513-114127\toys\art-toys-and-editions\artist-gnome\index.html"
"Update HTML","toys/art-toys-and-editions/astro-boy/index.html","Updated","","D:\github-backups\ron-english-toys\fix-art-toys-bart-grin-title-cleanup-and-remove-gnome-v1-20260513-114127\toys\art-toys-and-editions\astro-boy\index.html"
"Update HTML","toys/art-toys-and-editions/barney/index.html","Updated","","D:\github-backups\ron-english-toys\fix-art-toys-bart-grin-title-cleanup-and-remove-gnome-v1-20260513-114127\toys\art-toys-and-editions\barney\index.html"
"Update HTML","toys/art-toys-and-editions/bart-grin/index.html","Updated","Title replacements: Bart Grin - GID Prototype ( JPS Exclusive ) -> Bart Grin - GID Prototype (JPS Exclusive)","D:\github-backups\ron-english-toys\fix-art-toys-bart-grin-title-cleanup-and-remove-gnome-v1-20260513-114127\toys\art-toys-and-editions\bart-grin\index.html"
"Update HTML","toys/art-toys-and-editions/bearbrick/index.html","Updated","","D:\github-backups\ron-english-toys\fix-art-toys-bart-grin-title-cleanup-and-remove-gnome-v1-20260513-114127\toys\art-toys-and-editions\bearbrick\index.html"
"Update HTML","toys/art-toys-and-editions/big-boner/index.html","Updated","","D:\github-backups\ron-english-toys\fix-art-toys-bart-grin-title-cleanup-and-remove-gnome-v1-20260513-114127\toys\art-toys-and-editions\big-boner\index.html"
"Update HTML","toys/art-toys-and-editions/big-poppa/index.html","Updated","","D:\github-backups\ron-english-toys\fix-art-toys-bart-grin-title-cleanup-and-remove-gnome-v1-20260513-114127\toys\art-toys-and-editions\big-poppa\index.html"
"Update HTML","toys/art-toys-and-editions/big-yang/index.html","Updated","","D:\github-backups\ron-english-toys\fix-art-toys-bart-grin-title-cleanup-and-remove-gnome-v1-20260513-114127\toys\art-toys-and-editions\big-yang\index.html"
"Update HTML","toys/art-toys-and-editions/boxing-brain/index.html","Updated","","D:\github-backups\ron-english-toys\fix-art-toys-bart-grin-title-cleanup-and-remove-gnome-v1-20260513-114127\toys\art-toys-and-editions\boxing-brain\index.html"
"Update HTML","toys/art-toys-and-editions/bunnny-bunnnie/index.html","Updated","","D:\github-backups\ron-english-toys\fix-art-toys-bart-grin-title-cleanup-and-remove-gnome-v1-20260513-114127\toys\art-toys-and-editions\bunnny-bunnnie\index.html"
"Update HTML","toys/art-toys-and-editions/cathy-cowgirl/index.html","Updated","","D:\github-backups\ron-english-toys\fix-art-toys-bart-grin-title-cleanup-and-remove-gnome-v1-20260513-114127\toys\art-toys-and-editions\cathy-cowgirl\index.html"
"Update HTML","toys/art-toys-and-editions/cereal-killers/index.html","Updated","","D:\github-backups\ron-english-toys\fix-art-toys-bart-grin-title-cleanup-and-remove-gnome-v1-20260513-114127\toys\art-toys-and-editions\cereal-killers\index.html"
"Update HTML","toys/art-toys-and-editions/dark-star-grin/index.html","Updated","","D:\github-backups\ron-english-toys\fix-art-toys-bart-grin-title-cleanup-and-remove-gnome-v1-20260513-114127\toys\art-toys-and-editions\dark-star-grin\index.html"
