"Action","Target","Status","Detail","BackupPath"
"Remove index card","Art Toys & Editions / Yil Yang : Circus Sideshow","Removed","Href leaf: yil-yang-circus-sideshow-522.html",""
"Remove index card","Art Toys & Editions / Terror Demon","Removed","Href leaf: terror-demon-959.html",""
"Remove index card","Art Toys & Editions / Ronnnie Rabbbit","Removed","Href leaf: ronnnie-rabbbit-108.html",""
"Remove index card","Art Toys & Editions / Ronnie Rabbbit","Removed","Href leaf: ronnie-rabbbit-705.html",""
"Remove index card","Art Toys & Editions / Poultry Rex - Slime Green","Removed","Href leaf: poultry-rex-slime-green-443.html",""
"Remove index card","Art Toys & Editions / Poultry Rex - Painted Purple (DCon '16)","Removed","Href leaf: poultry-rex-painted-purple-dcon-16-95.html",""
"Remove index card","Art Toys & Editions / Popeye Grin GID Version","Removed","Href leaf: popeye-grin-gid-version-186.html",""
"Remove index card","Art Toys & Editions / Mousezilla - Green & Yellow","Removed","Href leaf: Mousezilla - Green & Yellow-1029.html",""
"Remove index card","Art Toys & Editions / Jewsus : Circus Sideshow","Removed","Href leaf: jewsus-circus-sideshow-327.html",""
"Remove index card","Art Toys & Editions / Heart Brain - Pink","Removed","Href leaf: heart-brain-pink-621.html",""
"Remove index card","Art Toys & Editions / Flesh colored Blank Mousezilla","Removed","Href leaf: flesh-colored-blank-mousezilla-514.html",""
"Remove index card","Art Toys & Editions / Evil MC - Golden Boy","Removed","Href leaf: evil-mc-golden-boy-680.html",""
"Remove index card","Art Toys & Editions / Evil MC - Golden Boy","Removed","Href leaf: evil-mc-golden-boy-871.html",""
"Remove index card","Art Toys & Editions / Dinogrenade - Hand Painted","Removed","Href leaf: dinogrenade-hand-painted-740.html",""
"Remove index card","Art Toys & Editions / Dinogrenade - Hand Painted","Removed","Href leaf: dinogrenade-hand-painted-69.html",""
"Remove index card","Art Toys & Editions / DINOGRENADE - HAND PAINTED","Removed","Href leaf: dinogrenade-hand-painted-409.html",""
"Remove index card","Art Toys & Editions / Cereal Killers - Yucky Children Charmer","Removed","Href leaf: cereal-killers-yucky-children-charmer-752.html",""
"Remove index card","Art Toys & Editions / Cassie Cowgirl : Circus Sideshow","Removed","Href leaf: cassie-cowgirl-circus-sideshow-27.html",""
"Remove index card","Art Toys & Editions / Blanka 15"" Figure","Removed","Href leaf: blanka-15-figure-82.html",""
"Remove index card","Art Toys & Editions / Action MC","Removed","Href leaf: action-mc-173.html",""
"Remove index card","Art Toys & Editions / Action Jackson","Removed","Href leaf: action-jackson-480.html",""
"Remove index card","Art Toys & Editions / Stitch - B&W","No change","No matching cards found.",""
"Extract/remove index card","Art Toys & Editions / Urban Bigfoot","Removed from source","Href leaf: urban-bigfoot-192.html",""
"Ensure index card","Custom Toys / Urban Bigfoot","Added","Href leaf: urban-bigfoot-192.html",""
"Update item page","items/urban-bigfoot-192.html","No change","Already appeared correct.",""
"Extract/remove index card","Art Toys & Editions / Dinogrenade - Hand Painted","Removed from source","Href leaf: dinogrenade-hand-painted-717.html",""
"Ensure index card","Custom Toys / Dinogrenade Hand Painted","Added","Href leaf: dinogrenade-hand-painted-717.html",""
"Update item page","items/dinogrenade-hand-painted-717.html","No change","Already appeared correct.",""
"Ensure index card","Art Toys & Editions / Shocking Sunflower - Blue Ice Ronnie","Updated","Href leaf: blue-ice-shocking-sunflower-ronnie-968.html",""
"Update item page","items/blue-ice-shocking-sunflower-ronnie-968.html","No change","Already appeared correct.",""
"Ensure index card","Art Toys & Editions / Urban Bigfoot - Jungle Gold Patina","Added","Href leaf: urban-big-foot-jungle-gold-patina-23.html",""
"Update item page","items/urban-big-foot-jungle-gold-patina-23.html","No change","Already appeared correct.",""
"Ensure index card","Art Toys & Editions / Disguisedzilla","Added","Href leaf: disguisedzilla.html",""
"Update item page","items/disguisedzilla.html","No change","Already appeared correct.",""
"Ensure index card","Art Toys & Editions / Hologramzilla","Added","Href leaf: hologramzilla.html",""
"Update item page","items/hologramzilla.html","No change","Already appeared correct.",""
"Ensure index card","Art Toys & Editions / Telegrinnie - Clear Chest Cover (JPS Edition)","Updated","Href leaf: telegrinnie-clear-chest-cover-jps-edition.html",""
"Update item page","items/telegrinnie-clear-chest-cover-jps-edition.html","No change","Already appeared correct.",""
"Ensure index card","Art Toys & Editions / Telegrinnies - Pink with Clear Chest Cover & Gold Teeth (JPS Edition)","Updated","Href leaf: telegrinnies-pink-clear-chest-cover-gold-teeth-jps-edition.html",""
"Update item page","items/telegrinnies-pink-clear-chest-cover-gold-teeth-jps-edition.html","No change","Already appeared correct.",""
"Write Art Toys index","toys/art-toys-and-editions/index.html","Updated","Cards before: 798; cards after: 778.","D:\github-backups\ron-english-toys\fix-art-toys-index-exact-card-edits-v1-20260513-085613\toys\art-toys-and-editions\index.html"
"Write Custom Toys index","toys/custom-toys/index.html","Updated","Cards before: 68; cards after: 70.","D:\github-backups\ron-english-toys\fix-art-toys-index-exact-card-edits-v1-20260513-085613\toys\custom-toys\index.html"
"Remove item page","items/action-jackson-480.html","Not found","No page existed at this path.",""
"Remove item page","items/action-mc-173.html","Not found","No page existed at this path.",""
"Remove item page","items/blanka-15-figure-82.html","Not found","No page existed at this path.",""
"Remove item page","items/cassie-cowgirl-circus-sideshow-27.html","Not found","No page existed at this path.",""
"Remove item page","items/cereal-killers-yucky-children-charmer-752.html","Not found","No page existed at this path.",""
"Remove item page","items/dinogrenade-hand-painted-409.html","Not found","No page existed at this path.",""
"Remove item page","items/dinogrenade-hand-painted-69.html","Not found","No page existed at this path.",""
"Remove item page","items/dinogrenade-hand-painted-740.html","Not found","No page existed at this path.",""
"Remove item page","items/evil-mc-golden-boy-680.html","Not found","No page existed at this path.",""
"Remove item page","items/flesh-colored-blank-mousezilla-514.html","Not found","No page existed at this path.",""
"Remove item page","items/heart-brain-pink-621.html","Not found","No page existed at this path.",""
"Remove item page","items/jewsus-circus-sideshow-327.html","Not found","No page existed at this path.",""
"Remove item page","items/Mousezilla - Green & Yellow-1029.html","Not found","No page existed at this path.",""
"Remove item page","items/popeye-grin-gid-version-186.html","Not found","No page existed at this path.",""
"Remove item page","items/poultry-rex-painted-purple-dcon-16-95.html","Not found","No page existed at this path.",""
