"ItemNumber","Title","Category","PageFile","PagePath","HasPlaceholder","ImageSrc","ImageFileName","ImageExistsInImagesTrampt","MissingOrBrokenImage"
"444","100% Bearbrick x RonEnglish DCon 2025","Custom Toy","100-bearbrick-x-ronenglish-dcon-2025-444.html","items\100-bearbrick-x-ronenglish-dcon-2025-444.html","True","","","False","True"
"967","48"" Pink Temper Tot","Custom Toy","48-pink-temper-tot-967.html","items\48-pink-temper-tot-967.html","True","","","False","True"
"462","84"" Black Starskull Walkimg Stick","Custom Toy","84-black-starskull-walkimg-stick-462.html","items\84-black-starskull-walkimg-stick-462.html","True","","","False","True"
"678","Action Jackson & Bauhaus","Original Art","action-jackson-bauhaus-678.html","items\action-jackson-bauhaus-678.html","True","","","False","True"
"103","ADTAGGED","Custom Toy","adtagged-103.html","items\adtagged-103.html","True","","","False","True"
"300","Alfred E. Newman Skull","Original Art","alfred-e-newman-skull-300.html","items\alfred-e-newman-skull-300.html","True","","","False","True"
"584","ALT Football","Original Art","alt-football-584.html","items\alt-football-584.html","True","","","False","True"
"675","Astro Grin (Drawing)","Original Art","astro-grin-drawing-675.html","items\astro-grin-drawing-675.html","True","","","False","True"
"900","ATATIGER","Custom Toy","atatiger-900.html","items\atatiger-900.html","True","","","False","True"
"382","Backyard soldiers","Original Art","backyard-soldiers-382.html","items\backyard-soldiers-382.html","True","","","False","True"
"129","Bad Man and Sidekick","Original Art","bad-man-and-sidekick-129.html","items\bad-man-and-sidekick-129.html","True","","","False","True"
"922","Bart English","Custom Toy","bart-english-922.html","items\bart-english-922.html","True","","","False","True"
"985","Batman and the Boy Blunder (Badly Drawn)","Original Art","batman-and-the-boy-blunder-badly-drawn-985.html","items\batman-and-the-boy-blunder-badly-drawn-985.html","True","","","False","True"
"1054","Batman Brain Dream","Original Art","batman-brain-dream-1054.html","items\batman-brain-dream-1054.html","True","","","False","True"
"747","Beau Lief (Drawing)","Original Art","beau-lief-drawing-747.html","items\beau-lief-drawing-747.html","True","","","False","True"
"406","Big Boner Sketch","Original Art","big-boner-sketch-406.html","items\big-boner-sketch-406.html","True","","","False","True"
"759","Big Duck (Drawing)","Original Art","big-duck-drawing-759.html","items\big-duck-drawing-759.html","True","","","False","True"
"450","Big Eye Marilyn","Original Art","big-eye-marilyn-450.html","items\big-eye-marilyn-450.html","True","","","False","True"
"921","BIGFOOT CHILD TOURIST (NFS)","Original Art","bigfoot-child-tourist-nfs-921.html","items\bigfoot-child-tourist-nfs-921.html","True","","","False","True"
"169","BIGFOOT FATHER TOURIST (NFS)","Original Art","bigfoot-father-tourist-nfs-169.html","items\bigfoot-father-tourist-nfs-169.html","True","","","False","True"
"983","BIGFOOT MOTHER TOURIST (NFS)","Original Art","bigfoot-mother-tourist-nfs-983.html","items\bigfoot-mother-tourist-nfs-983.html","True","","","False","True"
"499","Big Yang & The Yang Bangers Turnaround Sketch","Original Art","big-yang-the-yang-bangers-turnaround-sketch-499.html","items\big-yang-the-yang-bangers-turnaround-sketch-499.html","True","","","False","True"
"864","Brown acid trip","Original Art","brown-acid-trip-864.html","items\brown-acid-trip-864.html","True","","","False","True"
"33","Brute","Original Art","brute-33.html","items\brute-33.html","True","","","False","True"
"312","Camo deer in early spring","Original Art","camo-deer-in-early-spring-312.html","items\camo-deer-in-early-spring-312.html","True","","","False","True"
"254","Camo deer in spring bloom","Original Art","camo-deer-in-spring-bloom-254.html","items\camo-deer-in-spring-bloom-254.html","True","","","False","True"
"606","Camo deer in winter","Original Art","camo-deer-in-winter-606.html","items\camo-deer-in-winter-606.html","True","","","False","True"
"800","Camo deer with autumn flowers","Original Art","camo-deer-with-autumn-flowers-800.html","items\camo-deer-with-autumn-flowers-800.html","True","","","False","True"
"92","Camo deer with shark","Original Art","camo-deer-with-shark-92.html","items\camo-deer-with-shark-92.html","True","","","False","True"
"613","CAMO LIGHT GRENADE","Original Art","camo-light-grenade-613.html","items\camo-light-grenade-613.html","True","","","False","True"
"1004","Capt'n Cornstarch","Original Art","capt-n-cornstarch-1004.html","items\capt-n-cornstarch-1004.html","True","","","False","True"
"656","Carrot Man","Original Art","carrot-man-656.html","items\carrot-man-656.html","True","","","False","True"
"196","Cartoon Guernica Sketch","Original Art","cartoon-guernica-sketch-196.html","items\cartoon-guernica-sketch-196.html","True","","","False","True"
"760","Cathy Cowgirl","Original Art","cathy-cowgirl-760.html","items\cathy-cowgirl-760.html","True","","","False","True"
"552","CATHY COWGIRL - PINK (LIMITED EDITION OF 30)","Custom Toy","cathy-cowgirl-pink-limited-edition-of-30-552.html","items\cathy-cowgirl-pink-limited-edition-of-30-552.html","True","","","False","True"
"356","Cereal Killer: Cap'n Cornstarch Sketch","Original Art","cereal-killer-cap-n-cornstarch-sketch-356.html","items\cereal-killer-cap-n-cornstarch-sketch-356.html","True","","","False","True"
"311","Cereal Killer: Coco Paunch Sketch","Original Art","cereal-killer-coco-paunch-sketch-311.html","items\cereal-killer-coco-paunch-sketch-311.html","True","","","False","True"
"854","Cereal Killer: Franken Fat Sketch","Original Art","cereal-killer-franken-fat-sketch-854.html","items\cereal-killer-franken-fat-sketch-854.html","True","","","False","True"
"357","Cereal Killer: Fructose Peddlers Sketch","Original Art","cereal-killer-fructose-peddlers-sketch-357.html","items\cereal-killer-fructose-peddlers-sketch-357.html","True","","","False","True"
"476","Cereal Killer: Fruit Looped Sketch","Original Art","cereal-killer-fruit-looped-sketch-476.html","items\cereal-killer-fruit-looped-sketch-476.html","True","","","False","True"
"227","Cereal Killer: Sugar Diabetic Bear Sketch","Original Art","cereal-killer-sugar-diabetic-bear-sketch-227.html","items\cereal-killer-sugar-diabetic-bear-sketch-227.html","True","","","False","True"
"728","Cereal Killer: Sugar Pow Sketch","Original Art","cereal-killer-sugar-pow-sketch-728.html","items\cereal-killer-sugar-pow-sketch-728.html","True","","","False","True"
"799","Cereal Killer: Tricks the Kids Sketch","Original Art","cereal-killer-tricks-the-kids-sketch-799.html","items\cereal-killer-tricks-the-kids-sketch-799.html","True","","","False","True"
"826","Cereal Killer: Yucky Children Charmer Sketch","Original Art","cereal-killer-yucky-children-charmer-sketch-826.html","items\cereal-killer-yucky-children-charmer-sketch-826.html","True","","","False","True"
"37","Charlie Grin Turnaround Sketches","Original Art","charlie-grin-turnaround-sketches-37.html","items\charlie-grin-turnaround-sketches-37.html","True","","","False","True"
"402","CHIHUAHUA REX","Original Art","chihuahua-rex-402.html","items\chihuahua-rex-402.html","True","","","False","True"
"558","Chrome Rabbbit","Custom Toy","chrome-rabbbit-558.html","items\chrome-rabbbit-558.html","True","","","False","True"
"550","Classic Big Poppa","Custom Toy","classic-big-poppa-550.html","items\classic-big-poppa-550.html","True","","","False","True"
"243","CLOUD DEER","Original Art","cloud-deer-243.html","items\cloud-deer-243.html","True","","","False","True"
"437","CLOWN SCHOOL","Original Art","clown-school-437.html","items\clown-school-437.html","True","","","False","True"
"91","COMBAT CLASSIC PORTRAIT","Original Art","combat-classic-portrait-91.html","items\combat-classic-portrait-91.html","True","","","False","True"
"874","Combrat carnival","Original Art","combrat-carnival-874.html","items\combrat-carnival-874.html","True","","","False","True"
"171","Comic house block party","Original Art","comic-house-block-party-171.html","items\comic-house-block-party-171.html","True","","","False","True"
"988","Cowgirl hotrod","Original Art","cowgirl-hotrod-988.html","items\cowgirl-hotrod-988.html","True","","","False","True"
"956","Crystal-Embellished Gold & Black Big Poppa","Custom Toy","crystal-embellished-gold-black-big-poppa-956.html","items\crystal-embellished-gold-black-big-poppa-956.html","True","","","False","True"
"429","Crystal Lady Lips","Custom Toy","crystal-lady-lips-429.html","items\crystal-lady-lips-429.html","True","","","False","True"
"280","Crystal Telegriny","Custom Toy","crystal-telegriny-280.html","items\crystal-telegriny-280.html","True","","","False","True"
