"ItemNumber","Title","Category","PageFile","PagePath","HasPlaceholder","ImageSrc","ImageFileName","ImageExistsInImagesTrampt","MissingOrBrokenImage"
"444","100% Bearbrick x RonEnglish DCon 2025","Custom Toy","100-bearbrick-x-ronenglish-dcon-2025-444.html","items\100-bearbrick-x-ronenglish-dcon-2025-444.html","False","../images/Trampt/100%25%20Bearbrick%20x%20RonEnglish%20DCon%202025%20-%20Custom%20Toy%20-%20Trampt%20item%20444.jpeg","100% Bearbrick x RonEnglish DCon 2025 - Custom Toy - Trampt item 444.jpeg","True","False"
"967","48"" Pink Temper Tot","Custom Toy","48-pink-temper-tot-967.html","items\48-pink-temper-tot-967.html","False","../images/Trampt/48%20Pink%20Temper%20Tot%20-%20Custom%20Toy%20-%20Trampt%20item%20967.jpg","48 Pink Temper Tot - Custom Toy - Trampt item 967.jpg","True","False"
"462","84"" Black Starskull Walkimg Stick","Custom Toy","84-black-starskull-walkimg-stick-462.html","items\84-black-starskull-walkimg-stick-462.html","False","../images/Trampt/84%20Black%20Starskull%20Walkimg%20Stick%20-%20Custom%20Toy%20-%20Trampt%20item%20462.jpeg","84 Black Starskull Walkimg Stick - Custom Toy - Trampt item 462.jpeg","True","False"
"103","ADTAGGED","Custom Toy","adtagged-103.html","items\adtagged-103.html","False","../images/Trampt/ADTAGGED%20-%20Custom%20Toy%20-%20Trampt%20item%20103.jpg","ADTAGGED - Custom Toy - Trampt item 103.jpg","True","False"
"900","ATATIGER","Custom Toy","atatiger-900.html","items\atatiger-900.html","False","../images/Trampt/ATATIGER%20-%20Custom%20Toy%20-%20Trampt%20item%20900.jpg","ATATIGER - Custom Toy - Trampt item 900.jpg","True","False"
"922","Bart English","Custom Toy","bart-english-922.html","items\bart-english-922.html","False","../images/Trampt/Bart%20English%20-%20Custom%20Toy%20-%20Trampt%20item%20922.jpg","Bart English - Custom Toy - Trampt item 922.jpg","True","False"
"552","CATHY COWGIRL - PINK (LIMITED EDITION OF 30)","Custom Toy","cathy-cowgirl-pink-limited-edition-of-30-552.html","items\cathy-cowgirl-pink-limited-edition-of-30-552.html","False","../images/Trampt/CATHY%20COWGIRL%20-%20PINK%20(LIMITED%20EDITION%20OF%2030)%20-%20Custom%20Toy%20-%20Trampt%20item%20552.jpg","CATHY COWGIRL - PINK (LIMITED EDITION OF 30) - Custom Toy - Trampt item 552.jpg","True","False"
"558","Chrome Rabbbit","Custom Toy","chrome-rabbbit-558.html","items\chrome-rabbbit-558.html","False","../images/Trampt/Chrome%20Rabbbit%20-%20Custom%20Toy%20-%20Trampt%20item%20558.jpg","Chrome Rabbbit - Custom Toy - Trampt item 558.jpg","True","False"
"550","Classic Big Poppa","Custom Toy","classic-big-poppa-550.html","items\classic-big-poppa-550.html","False","../images/Trampt/Classic%20Big%20Poppa%20-%20Custom%20Toy%20-%20Trampt%20item%20550.jpg","Classic Big Poppa - Custom Toy - Trampt item 550.jpg","True","False"
"956","Crystal-Embellished Gold & Black Big Poppa","Custom Toy","crystal-embellished-gold-black-big-poppa-956.html","items\crystal-embellished-gold-black-big-poppa-956.html","False","../images/Trampt/Crystal-Embellished%20Gold%20and%20Black%20Big%20Poppa%20-%20Custom%20Toy%20-%20Trampt%20item%20956.jpg","Crystal-Embellished Gold and Black Big Poppa - Custom Toy - Trampt item 956.jpg","True","False"
"429","Crystal Lady Lips","Custom Toy","crystal-lady-lips-429.html","items\crystal-lady-lips-429.html","False","../images/Trampt/Crystal%20Lady%20Lips%20-%20Custom%20Toy%20-%20Trampt%20item%20429.jpg","Crystal Lady Lips - Custom Toy - Trampt item 429.jpg","True","False"
"280","Crystal Telegriny","Custom Toy","crystal-telegriny-280.html","items\crystal-telegriny-280.html","False","../images/Trampt/Crystal%20Telegriny%20-%20Custom%20Toy%20-%20Trampt%20item%20280.jpg","Crystal Telegriny - Custom Toy - Trampt item 280.jpg","True","False"
"101","D'oh! Boy - Heart In Hand","Custom Toy","d-oh-boy-heart-in-hand-101.html","items\d-oh-boy-heart-in-hand-101.html","False","../images/Trampt/D'oh!%20Boy%20-%20Heart%20In%20Hand%20-%20Custom%20Toy%20-%20Trampt%20item%20101.jpg","D'oh! Boy - Heart In Hand - Custom Toy - Trampt item 101.jpg","True","False"
"715","D'oh! Boy - Melty Face","Custom Toy","d-oh-boy-melty-face-715.html","items\d-oh-boy-melty-face-715.html","False","../images/Trampt/D'oh!%20Boy%20-%20Melty%20Face%20-%20Custom%20Toy%20-%20Trampt%20item%20715.jpg","D'oh! Boy - Melty Face - Custom Toy - Trampt item 715.jpg","True","False"
