"ItemNumber","Title","PageCategory","ImageFilenameText","ItemUrl"
"16","Monkey Joseph (Drawing)","ORIGINAL ART","Monkey Joseph (Drawing)-Ron English-VPwPHt4nA5lynU","https://www.trampt.com/item/monkey-joseph-drawing-ron-english-mixed-media-oB6MyKZ-WufucP"
"26","DINOGRENADE","ORIGINAL ART","DINOGRENADE-Ron English-Oil","https://www.trampt.com/item/dinogrenade-ron-english-oil-qqHJorb7qMsnA3"
"33","Brute","ORIGINAL ART","Brute-Ron English-HsrAjQOqkpnLpC","https://www.trampt.com/item/brute-ron-english-paper-drawing-74yHIW3xvi46nX"
"37","Charlie Grin Turnaround Sketches","ORIGINAL ART","Charlie Grin Turnaround Sketches-Ron English-Ink","https://www.trampt.com/item/charlie-grin-turnaround-sketches-ron-english-ink-fd3R4wpXynQYt-"
"43","Kaiju Clown (Drawing)","ORIGINAL ART","Kaiju Clown (Drawing)-Ron English-EdSegV8MuorpNJ","https://www.trampt.com/item/kaiju-clown-drawing-ron-english-mixed-media-9Nazuv1dJ3Oizm"
"45","POULTRY REX REVOLUTION","ORIGINAL ART","untitled-Ron English-Oil","https://www.trampt.com/item/poultry-rex-revolution-ron-english-oil-ergypT3SNwqet_"
"47","FAT TONY (LIMITED EDITION OF 30)","CUSTOM TOY","untitled-Ron English-Oil","https://www.trampt.com/item/fat-tony-limited-edition-of-30-ron-english-fat-tony-Wp8noNOAntuHFx"
"49","Grin Reeper Mini","ORIGINAL ART","Grin Reeper Mini-Ron English-GDsehDPjlRP3rE","https://www.trampt.com/item/grin-reeper-mini-ron-english-paper-drawing-4bKBNVYAHu-xr5"
"71","Purple Dinosaurus","ORIGINAL ART","Purple Dinosaurus-Ron English-PHNjENYNUUG9mR","https://www.trampt.com/item/purple-dinosaurus-ron-english-oil-hwoygIYDfH-VD-"
"74","Tyrannosaurus Dick","ORIGINAL ART","Tyrannosaurus Dick-Ron English-LboD0ZQrmHq5Jq","https://www.trampt.com/item/tyrannosaurus-dick-ron-english-paper-drawing-gc7jbaBF42ecsa"
"87","Starskull Flower","ORIGINAL ART","Starskull Flower-Ron English-Ink","https://www.trampt.com/item/starskull-flower-ron-english-ink-A-HUVtPlEs7KaV"
"90","Joe Cancer on Chemo","ORIGINAL ART","Joe Cancer on Chemo-Ron English-m0VfLXyKn7mhhp","https://www.trampt.com/item/joe-cancer-on-chemo-ron-english-paper-drawing-hH5eOAUcWE7GFc"
"91","COMBAT CLASSIC PORTRAIT","ORIGINAL ART","untitled-Ron English-Oil","https://www.trampt.com/item/combat-classic-portrait-ron-english-oil-FymLrNEi91LQzi"
"92","Camo deer with shark","ORIGINAL ART","Camo deer with shark-Ron English-Oil","https://www.trampt.com/item/camo-deer-with-shark-ron-english-oil-E_KafAyehWAxdA"
"94","THE CHASE: TEMPER TOT DINOGRENADE (LIMITED EDITION OF 30)","ORIGINAL ART","untitled-Ron English-Oil","https://www.trampt.com/item/the-chase-temper-tot-dinogrenade-limited-edition-of-30-ron-english-oil-BFO0uD383Vpxvo"
"101","D'oh! Boy - Heart In Hand","CUSTOM TOY","Doh Boy - Heart In Hand-Ron English-Doh Boy","https://www.trampt.com/item/doh-boy-heart-in-hand-ron-english-doh-boy-TiSjuJgClkMP8V"
"103","ADTAGGED","CUSTOM TOY","untitled-Ron English-AT-AT","https://www.trampt.com/item/adtagged-ron-english-at-at-AoSWmJYyHxv6ff"
"113","Duck Mermaid (Drawing)","ORIGINAL ART","Duck Mermaid (Drawing)-Ron English-EYauprCFyIH2oL","https://www.trampt.com/item/duck-mermaid-drawing-ron-english-mixed-media-sMgcsW0ilZ6Ej9"
"116","SOUTH AMERICAN BUTTERFLY","ORIGINAL ART","untitled-Ron English-Oil","https://www.trampt.com/item/south-american-butterfly-ron-english-oil-vG9PLc8eIOOoxM"
"129","Bad Man and Sidekick","ORIGINAL ART","Bad Man and Sidekick-Ron English-j5-R3ZH4dPaf-B","https://www.trampt.com/item/bad-man-and-sidekick-ron-english-paper-drawing-UejsFBsfDcQBw1"
"130","Little Bigfoot - Green","CUSTOM TOY","Little Bigfoot - Green-Ron English-Little Bigfoot","https://www.trampt.com/item/little-bigfoot-green-ron-english-little-bigfoot-Y5tTtc6HPkaqK0"
"156","Elefanka on her High Horse","ORIGINAL ART","Elefanka on her High Horse-Ron English-LhFWwZ6KKsnay4","https://www.trampt.com/item/elefanka-on-her-high-horse-ron-english-paper-drawing-epJ8wTHFIb5AFf"
"163","Rabbit Flower (Drawing)","ORIGINAL ART","Rabbit Flower (Drawing)-Ron English-kSpYpSAytWQ0lV","https://www.trampt.com/item/rabbit-flower-drawing-ron-english-mixed-media-rM1eis0KaHF-v4"
"167","Fat Bart","ORIGINAL ART","Fat Bart-Ron English-Ink","https://www.trampt.com/item/fat-bart-ron-english-ink-gAA6ey3ukmi0om"
"168","Little Bigfoot - Purple Rainbow","CUSTOM TOY","Little Bigfoot - Purple Rainbow-Ron English-Little Bigfoot","https://www.trampt.com/item/little-bigfoot-purple-rainbow-ron-english-little-bigfoot-_Dx0Jl11KfPyTN"
"169","BIGFOOT FATHER TOURIST (NFS)","ORIGINAL ART","untitled-Ron English-Fiberglass  Hair","https://www.trampt.com/item/bigfoot-father-tourist-nfs-ron-english-fiberglass-and-hair-QFaNFJDqIe78sm"
"171","Comic house block party","ORIGINAL ART","Comic house block party-Ron English-Oil","https://www.trampt.com/item/comic-house-block-party-ron-english-oil-7TiReiyHWUyKhM"
"174","Fauxy Fox","ORIGINAL ART","Fauxy Fox-Ron English-fFLXXw1-Qh5OcL","https://www.trampt.com/item/fauxy-fox-ron-english-paper-drawing-0fbb4hM0X174LS"
"176","The Ugliest Man in the Universe (Drawing)","ORIGINAL ART","The Ugliest Man in the Universe (Drawing)-Ron English-4pI-PseersMCke","https://www.trampt.com/item/the-ugliest-man-in-the-universe-drawing-ron-english-mixed-media-VUEvVNkulrc2KC"
"177","MONARCH ELEPHANT","ORIGINAL ART","untitled-Ron English-Oil","https://www.trampt.com/item/monarch-elephant-ron-english-oil-IE5F70P2jZADi1"
"179","Metallica Dots","ORIGINAL ART","Metallica Dots-Ron English-2AyWXRNQW4HlHl","https://www.trampt.com/item/metallica-dots-ron-english-oil-y5DKhKGG3Bndel"
"181","Montana Mouse (Drawing)","ORIGINAL ART","Montana Mouse (Drawing)-Ron English-smMPj5 6bMYoGQ","https://www.trampt.com/item/montana-mouse-drawing-ron-english-mixed-media-AZ73TaRIio4Qal"
"185","LOVE CLOUD","ORIGINAL ART","untitled-Ron English-Oil","https://www.trampt.com/item/love-cloud-ron-english-oil-M9hE01Sp998i3U"
"188","Lil Bigfoot (Drawing)","ORIGINAL ART","Lil Bigfoot (Drawing)-Ron English-m6201TMhzxceMZ","https://www.trampt.com/item/lil-bigfoot-drawing-ron-english-mixed-media-432uNzn5RqLtFo"
