"Category","CategorySlug","Title","ItemPage","ImageFile","Source"
"Heart Brain","heart-brain","Heart Brain - Bleeding Gold","items/heart-brain-bleeding-gold-1026.html","Heart Brain - Bleeding Gold - Custom Toy - Trampt item 1026.jpg","toys/custom-toys/index.html"
"Heart Brain","heart-brain","Heart Brain - Glitter Clear","items/heart-brain-glitter-clear-725.html","Heart Brain - Glitter Clear - Custom Toy - Trampt item 725.jpg","toys/custom-toys/index.html"
"Heart Brain","heart-brain","Heart Brain - Orange Glow","items/heart-brain-orange-glow-237.html","Heart Brain - Orange Glow - Custom Toy - Trampt item 237.jpg","toys/custom-toys/index.html"
"Heart Brain","heart-brain","Heart Brain - Purple Heart","items/heart-brain-purple-heart-284.html","Heart Brain - Purple Heart - Custom Toy - Trampt item 284.jpg","toys/custom-toys/index.html"
"Heart Brain","heart-brain","Heart Brain - Transparent Green","items/heart-brain-transparent-green-1072.html","Heart Brain - Transparent Green - Custom Toy - Trampt item 1072.jpg","toys/custom-toys/index.html"
"Heart Skull","heart-skull","Heart Skull - Camo Brain","items/heart-skull-camo-brain-523.html","Heart Skull - Camo Brain - Custom Toy - Trampt item 523.jpg","toys/custom-toys/index.html"
"Heart Skull","heart-skull","Heart Skull - Glitter Purple","items/heart-skull-glitter-purple-577.html","Heart Skull - Glitter Purple - Custom Toy - Trampt item 577.jpg","toys/custom-toys/index.html"
"Heart Skull","heart-skull","Heart Skull - Glitter Silver","items/heart-skull-glitter-silver-586.html","Heart Skull - Glitter Silver - Custom Toy - Trampt item 586.jpg","toys/custom-toys/index.html"
"Heart Skull","heart-skull","Heart Skull - Metallic Purple","items/heart-skull-metallic-purple-1000.html","Heart Skull - Metallic Purple.webp","toys/custom-toys/index.html"
"Heart Skull","heart-skull","Heart Skull - Purple Glitter","items/heart-skull-purple-glitter-418.html","Heart Skull - Purple Glitter - Custom Toy - Trampt item 418.jpg","toys/custom-toys/index.html"
"Heart Skull","heart-skull","Heart Skull - Sherbet Drip","items/heart-skull-sherbet-drip-1069.html","Heart Skull - Sherbet Drip - Custom Toy - Trampt item 1069.jpg","toys/custom-toys/index.html"
"Heart Skull","heart-skull","Heart Skull - Transparent Blue","items/heart-skull-transparent-blue-261.html","Heart Skull - Transparent Blue - Custom Toy - Trampt item 261.jpg","toys/custom-toys/index.html"
"Heart Skull","heart-skull","Heart Skull - Transparent Pink Swirl","items/heart-skull-transparent-pink-swirl-744.html","Heart Skull - Transparent Pink Swirl - Custom Toy - Trampt item 744.jpg","toys/custom-toys/index.html"
"Heart Skull","heart-skull","Heart Skull - Transparent Yellow with Brain","items/heart-skull-transparent-yellow-with-brain-292.html","Heart Skull - Transparent Yellow with Brain - Custom Toy - Trampt item 292.jpg","toys/custom-toys/index.html"
"D'oh! Boy","doh-boy","D'oh! Boy - Heart In Hand","items/d-oh-boy-heart-in-hand-101.html","D'oh! Boy - Heart In Hand - Custom Toy - Trampt item 101.jpg","toys/custom-toys/index.html"
"D'oh! Boy","doh-boy","D'oh! Boy - Melty Face","items/d-oh-boy-melty-face-715.html","D'oh! Boy - Melty Face - Custom Toy - Trampt item 715.jpg","toys/custom-toys/index.html"
"D'oh! Boy","doh-boy","D'oh! Boy - Metallic Drip","items/d-oh-boy-metallic-drip-442.html","D'oh! Boy - Metallic Drip - Custom Toy - Trampt item 442.jpg","toys/custom-toys/index.html"
"D'oh! Boy","doh-boy","D'oh! Boy - Neon Yellow Swirl","items/d-oh-boy-neon-yellow-swirl-337.html","D'oh! Boy - Neon Yellow Swirl - Custom Toy - Trampt item 337.jpg","toys/custom-toys/index.html"
"D'oh! Boy","doh-boy","D'oh! Boy - Traditional","items/d-oh-boy-traditional-868.html","D'oh! Boy - Traditional - Custom Toy - Trampt item 868.jpg","toys/custom-toys/index.html"
"Big Poppa","big-poppa","Big Poppa - Classic","items/classic-big-poppa-550.html","Classic Big Poppa - Custom Toy - Trampt item 550.jpg","toys/custom-toys/index.html"
"Big Poppa","big-poppa","Big Poppa - Crystal-Embellished Gold & Black","items/crystal-embellished-gold-black-big-poppa-956.html","Crystal-Embellished Gold and Black Big Poppa - Custom Toy - Trampt item 956.jpg","toys/custom-toys/index.html"
"Little Bigfoot","little-bigfoot","Golden Little Bigfoot","items/golden-little-bigfoot-263.html","Golden Little Bigfoot - Custom Toy - Trampt item 263.jpg","toys/custom-toys/index.html"
"Little Bigfoot","little-bigfoot","Little Bigfoot - Fire","items/little-bigfoot-fire-756.html","Little Bigfoot - Fire - Custom Toy - Trampt item 756.jpg","toys/custom-toys/index.html"
"Little Bigfoot","little-bigfoot","Little Bigfoot - Green","items/green-little-bigfoot-213.html","Green LITTLE BIGFOOT - Custom Toy - Trampt item 213.jpg","toys/custom-toys/index.html"
"Little Bigfoot","little-bigfoot","Little Bigfoot - Green","items/little-bigfoot-green-130.html","Little Bigfoot - Green - Custom Toy - Trampt item 130.jpg","toys/custom-toys/index.html"
"Little Bigfoot","little-bigfoot","Little Bigfoot - Orange with Blue Face","items/little-bigfoot-orange-with-blue-face-618.html","Little Bigfoot - Orange with Blue Face - Custom Toy - Trampt item 618.jpg","toys/custom-toys/index.html"
"Little Bigfoot","little-bigfoot","Little Bigfoot - Pink with Orange Face","items/little-bigfoot-pink-with-orange-face-407.html","Little Bigfoot - Pink with Orange Face - Custom Toy - Trampt item 407.jpg","toys/custom-toys/index.html"
"Little Bigfoot","little-bigfoot","Little Bigfoot - Purple Rainbow","items/little-bigfoot-purple-rainbow-168.html","Little Bigfoot - Purple Rainbow - Custom Toy - Trampt item 168.jpg","toys/custom-toys/index.html"
"Little Bigfoot","little-bigfoot","Little Bigfoot - Purple with Blue Face","items/little-bigfoot-purple-with-blue-face-745.html","Little Bigfoot - Purple with Blue Face - Custom Toy - Trampt item 745.jpg","toys/custom-toys/index.html"
"Little Bigfoot","little-bigfoot","Little Bigfoot - Silver","items/silver-little-bigfoot-209.html","Silver Little Bigfoot - Custom Toy - Trampt item 209.jpg","toys/custom-toys/index.html"
"Modzilla","modzilla","Modzilla Custom Green","items/modzilla-custom-a-736.html","MODZILLA CUSTOM A - Custom Toy - Trampt item 736.jpg","toys/custom-toys/index.html"
"Modzilla","modzilla","Modzilla Custom Purple Stripe","items/modzilla-custom-b-526.html","MODZILLA CUSTOM B - Custom Toy - Trampt item 526.jpg","toys/custom-toys/index.html"
"Modzilla","modzilla","Modzilla Custom Tiger","items/modzilla-custom-818.html","Modzilla Custom - Custom Toy - Trampt item 818.jpg","toys/custom-toys/index.html"
"Modzilla","modzilla","Modzilla Custom Yellow & Blue","items/modzilla-custom-c-210.html","MODZILLA CUSTOM C - Custom Toy - Trampt item 210.jpg","toys/custom-toys/index.html"
"Modzilla","modzilla","Modzilla - Hand Painted 1","items/hand-painted-modzilla-358.html","Hand Painted Modzilla - Custom Toy - Trampt item 358.jpg","toys/custom-toys/index.html"
"Modzilla","modzilla","Modzilla - Hand Painted 2","items/hand-painted-modzilla-521.html","Hand Painted Modzilla - Custom Toy - Trampt item 521.jpg","toys/custom-toys/index.html"
"Mona Grin","mona-grin","Mona Grin 1","items/mona-grin-1-449.html","Mona Grin 1 - Custom Toy - Trampt item 449.jpg","toys/custom-toys/index.html"
"Mona Grin","mona-grin","Mona Grin 2","items/mona-grin-2-256.html","Mona Grin 2 - Custom Toy - Trampt item 256.jpg","toys/custom-toys/index.html"
"Ronnnie Rabbbit","ronnnie-rabbbit","Ronnnie Rabbbit - Chrome","items/chrome-rabbbit-558.html","Chrome Rabbbit - Custom Toy - Trampt item 558.jpg","toys/custom-toys/index.html"
"Ronnnie Rabbbit","ronnnie-rabbbit","Ronnnie Rabbbit - XMas","items/xmas-rabbbit-643.html","XMas Rabbbit - Custom Toy - Trampt item 643.jpg","toys/custom-toys/index.html"
"Urban Bigfoot","urban-bigfoot","Urban Bigfoot","items/urban-bigfoot-192.html","Urban Bigfoot - DESIGNER TOY.jpeg","toys/custom-toys/index.html"
"Urban Bigfoot","urban-bigfoot","Urban Bigfoot Custom A","items/urban-big-foot-custom-a-497.html","URBAN BIG FOOT CUSTOM A - Custom Toy - Trampt item 497.jpg","toys/custom-toys/index.html"
"Urban Bigfoot","urban-bigfoot","Urban Bigfoot Custom A","items/urban-big-foot-custom-b-252.html","URBAN BIG FOOT CUSTOM B - Custom Toy - Trampt item 252.jpg","toys/custom-toys/index.html"
