"Action","Target","Status","Detail","BackupPath"
"Create Custom category page","toys/custom-toys/heart-brain/index.html","Created","Created Heart Brain with 5 item card(s).",""
"Create Custom category page","toys/custom-toys/heart-skull/index.html","Created","Created Heart Skull with 9 item card(s).",""
"Create Custom category page","toys/custom-toys/doh-boy/index.html","Created","Created D'oh! Boy with 5 item card(s).",""
"Create Custom category page","toys/custom-toys/big-poppa/index.html","Created","Created Big Poppa with 2 item card(s).",""
"Create Custom category page","toys/custom-toys/little-bigfoot/index.html","Created","Created Little Bigfoot with 9 item card(s).",""
"Create Custom category page","toys/custom-toys/modzilla/index.html","Created","Created Modzilla with 6 item card(s).",""
"Create Custom category page","toys/custom-toys/mona-grin/index.html","Created","Created Mona Grin with 2 item card(s).",""
"Create Custom category page","toys/custom-toys/ronnnie-rabbbit/index.html","Created","Created Ronnnie Rabbbit with 2 item card(s).",""
"Create Custom category page","toys/custom-toys/urban-bigfoot/index.html","Created","Created Urban Bigfoot with 3 item card(s).",""
"Update HTML","toys/custom-toys/index.html","Updated","Replaced matching Custom Toy item cards with category cards and removed Rodent Grin - Mono & Silver.","D:\github-backups\ron-english-toys\organize-custom-toy-categories-and-move-rodent-grin-v1-20260513-121611\toys\custom-toys\index.html"
"Move Rodent Grin","toys/art-toys-and-editions/rodent-grin/index.html","Skipped","Rodent Grin - Mono & Silver was not found.",""
