"Action","Target","Status","Detail","BackupPath"
"Update HTML","toys/art-toys-and-editions/index.html","Updated","Normalized visible MC Supersized / Hamburger text.","D:\github-backups\ron-english-toys\organize-mc-subcategories-and-fix-exceptions-v1-20260513-120942\toys\art-toys-and-editions\index.html"
"Update HTML","toys/art-toys-and-editions/action-figure/index.html","Updated","Normalized visible MC Supersized / Hamburger text.","D:\github-backups\ron-english-toys\organize-mc-subcategories-and-fix-exceptions-v1-20260513-120942\toys\art-toys-and-editions\action-figure\index.html"
"Update HTML","toys/art-toys-and-editions/action-figure/police-grin/index.html","Updated","Normalized visible MC Supersized / Hamburger text.","D:\github-backups\ron-english-toys\organize-mc-subcategories-and-fix-exceptions-v1-20260513-120942\toys\art-toys-and-editions\action-figure\police-grin\index.html"
"Update HTML","toys/art-toys-and-editions/artist-gnome/index.html","Updated","Normalized visible MC Supersized / Hamburger text.","D:\github-backups\ron-english-toys\organize-mc-subcategories-and-fix-exceptions-v1-20260513-120942\toys\art-toys-and-editions\artist-gnome\index.html"
"Update HTML","toys/art-toys-and-editions/astro-boy/index.html","Updated","Normalized visible MC Supersized / Hamburger text.","D:\github-backups\ron-english-toys\organize-mc-subcategories-and-fix-exceptions-v1-20260513-120942\toys\art-toys-and-editions\astro-boy\index.html"
"Update HTML","toys/art-toys-and-editions/barney/index.html","Updated","Normalized visible MC Supersized / Hamburger text.","D:\github-backups\ron-english-toys\organize-mc-subcategories-and-fix-exceptions-v1-20260513-120942\toys\art-toys-and-editions\barney\index.html"
"Update HTML","toys/art-toys-and-editions/bart-grin/index.html","Updated","Normalized visible MC Supersized / Hamburger text.","D:\github-backups\ron-english-toys\organize-mc-subcategories-and-fix-exceptions-v1-20260513-120942\toys\art-toys-and-editions\bart-grin\index.html"
"Update HTML","toys/art-toys-and-editions/bearbrick/index.html","Updated","Normalized visible MC Supersized / Hamburger text.","D:\github-backups\ron-english-toys\organize-mc-subcategories-and-fix-exceptions-v1-20260513-120942\toys\art-toys-and-editions\bearbrick\index.html"
"Update HTML","toys/art-toys-and-editions/big-boner/index.html","Updated","Normalized visible MC Supersized / Hamburger text.","D:\github-backups\ron-english-toys\organize-mc-subcategories-and-fix-exceptions-v1-20260513-120942\toys\art-toys-and-editions\big-boner\index.html"
"Update HTML","toys/art-toys-and-editions/big-poppa/index.html","Updated","Normalized visible MC Supersized / Hamburger text.","D:\github-backups\ron-english-toys\organize-mc-subcategories-and-fix-exceptions-v1-20260513-120942\toys\art-toys-and-editions\big-poppa\index.html"
"Update HTML","toys/art-toys-and-editions/big-yang/index.html","Updated","Normalized visible MC Supersized / Hamburger text.","D:\github-backups\ron-english-toys\organize-mc-subcategories-and-fix-exceptions-v1-20260513-120942\toys\art-toys-and-editions\big-yang\index.html"
"Update HTML","toys/art-toys-and-editions/boxing-brain/index.html","Updated","Normalized visible MC Supersized / Hamburger text.","D:\github-backups\ron-english-toys\organize-mc-subcategories-and-fix-exceptions-v1-20260513-120942\toys\art-toys-and-editions\boxing-brain\index.html"
"Update HTML","toys/art-toys-and-editions/bunnny-bunnnie/index.html","Updated","Normalized visible MC Supersized / Hamburger text.","D:\github-backups\ron-english-toys\organize-mc-subcategories-and-fix-exceptions-v1-20260513-120942\toys\art-toys-and-editions\bunnny-bunnnie\index.html"
"Update HTML","toys/art-toys-and-editions/cathy-cowgirl/index.html","Updated","Normalized visible MC Supersized / Hamburger text.","D:\github-backups\ron-english-toys\organize-mc-subcategories-and-fix-exceptions-v1-20260513-120942\toys\art-toys-and-editions\cathy-cowgirl\index.html"
"Update HTML","toys/art-toys-and-editions/cereal-killers/index.html","Updated","Normalized visible MC Supersized / Hamburger text.","D:\github-backups\ron-english-toys\organize-mc-subcategories-and-fix-exceptions-v1-20260513-120942\toys\art-toys-and-editions\cereal-killers\index.html"
"Update HTML","toys/art-toys-and-editions/cereal-killers/capn-cornstarch/index.html","Updated","Normalized visible MC Supersized / Hamburger text.","D:\github-backups\ron-english-toys\organize-mc-subcategories-and-fix-exceptions-v1-20260513-120942\toys\art-toys-and-editions\cereal-killers\capn-cornstarch\index.html"
"Update HTML","toys/art-toys-and-editions/cereal-killers/coco-puffed-paunch/index.html","Updated","Normalized visible MC Supersized / Hamburger text.","D:\github-backups\ron-english-toys\organize-mc-subcategories-and-fix-exceptions-v1-20260513-120942\toys\art-toys-and-editions\cereal-killers\coco-puffed-paunch\index.html"
"Update HTML","toys/art-toys-and-editions/cereal-killers/count-calorie/index.html","Updated","Normalized visible MC Supersized / Hamburger text.","D:\github-backups\ron-english-toys\organize-mc-subcategories-and-fix-exceptions-v1-20260513-120942\toys\art-toys-and-editions\cereal-killers\count-calorie\index.html"
"Update HTML","toys/art-toys-and-editions/cereal-killers/fat-tony/index.html","Updated","Normalized visible MC Supersized / Hamburger text.","D:\github-backups\ron-english-toys\organize-mc-subcategories-and-fix-exceptions-v1-20260513-120942\toys\art-toys-and-editions\cereal-killers\fat-tony\index.html"
