"Title","Section","PagePath","ImageFile","Label","Date","Dimensions"
"EUROPEAN CAMO STAG","sculptures","items/european-camo-stag-517.html","EUROPEAN CAMO STAG - Original Art - Trampt item 517.jpg","Sculpture / installation","",""
"EUROPEAN CAMO DOE","sculptures","items/european-camo-doe-197.html","EUROPEAN CAMO DOE - Original Art - Trampt item 197.jpg","Sculpture / installation","",""
"MC Supersized - Original 36""","sculptures","items/mc-supersized-original-36-415.html","MC Supersized - Original 36 - Original Art - Trampt item 415.jpg","Sculpture / installation","",""
"BIGFOOT CHILD TOURIST (NFS)","sculptures","items/bigfoot-child-tourist-nfs-921.html","BIGFOOT CHILD TOURIST (NFS) - Original Art - Trampt item 921.jpg","Sculpture / installation","",""
"BIGFOOT FATHER TOURIST (NFS)","sculptures","items/bigfoot-father-tourist-nfs-169.html","BIGFOOT FATHER TOURIST (NFS) - Original Art - Trampt item 169.jpg","Sculpture / installation","",""
"BIGFOOT MOTHER TOURIST (NFS)","sculptures","items/bigfoot-mother-tourist-nfs-983.html","BIGFOOT MOTHER TOURIST (NFS) - Original Art - Trampt item 983.jpg","Sculpture / installation","",""
"TWO TON SAM (LIMITED EDITION OF 30)","editioned","items/two-ton-sam-limited-edition-of-30-413.html","TWO TON SAM (LIMITED EDITION OF 30) - Custom Toy - Trampt item 413.jpg","Editioned sculpture","",""
"48"" Atomic Orange Charlie Grin (+NFT)","editioned","items/48-atomic-orange-charlie-grin-nft-762.html","48 Atomic Orange Charlie Grin (+NFT) - DESIGNER TOY.jpeg","Editioned sculpture","",""
"48"" Black Charlie Grin","editioned","items/48-black-charlie-grin-486.html","48 Black Charlie Grin - DESIGNER TOY.jpeg","Editioned sculpture","",""
"48"" Electric Strawberry Charlie Grin (+NFT)","editioned","items/48-electric-strawberry-charlie-grin-nft-452.html","48 Electric Strawberry Charlie Grin (+NFT) - DESIGNER TOY.jpeg","Editioned sculpture","",""
"48"" Green Telegrinnie","editioned","items/48-green-telegrinnie-993.html","48 Green Telegrinnie - DESIGNER TOY.jpeg","Editioned sculpture","",""
