"Action","Target","Status","Detail","BackupPath"
"Remove Custom Toys index cards","toys/custom-toys/index.html","Updated","Removed 12 matching card(s).","D:\github-backups\ron-english-toys\remove-selected-custom-toy-pages-v1-20260513-110333\toys\custom-toys\index.html"
"Removed index card detail","items/untitled-961.html","Removed","Untitled",""
"Removed index card detail","items/untitled-766.html","Removed","Untitled",""
"Removed index card detail","items/untitled-666.html","Removed","Untitled",""
"Removed index card detail","items/two-ton-sam-limited-edition-of-30-413.html","Removed","Two Ton Sam",""
"Removed index card detail","items/84-black-starskull-walkimg-stick-462.html","Removed","Starskull Walking Stick - Black",""
"Removed index card detail","items/mousemask-murphy-in-airplane-limited-edition-of-30-1073.html","Removed","Mousemask Murphy in Airplane",""
"Removed index card detail","items/ron-english-giant-ted-2-530.html","Removed","Giant Ted 2",""
"Removed index card detail","items/ron-english-giant-ted-1-241.html","Removed","Giant Ted 1",""
"Removed index card detail","items/ron-english-giant-scratch-2-268.html","Removed","Giant Scratch 2",""
"Removed index card detail","items/ron-english-giant-scratch-1-1055.html","Removed","Giant Scratch 1",""
"Removed index card detail","items/fat-tony-limited-edition-of-30-47.html","Removed","FAT TONY (LIMITED EDITION OF 30)",""
"Removed index card detail","items/cathy-cowgirl-pink-limited-edition-of-30-552.html","Removed","Cathy Cowgirl - Pink",""
"Remove item page","items/cathy-cowgirl-pink-limited-edition-of-30-552.html","Removed","HTML page removed after backup. Source images were not touched.","D:\github-backups\ron-english-toys\remove-selected-custom-toy-pages-v1-20260513-110333\items\cathy-cowgirl-pink-limited-edition-of-30-552.html"
"Remove item page","items/fat-tony-limited-edition-of-30-47.html","Removed","HTML page removed after backup. Source images were not touched.","D:\github-backups\ron-english-toys\remove-selected-custom-toy-pages-v1-20260513-110333\items\fat-tony-limited-edition-of-30-47.html"
"Remove item page","items/ron-english-giant-scratch-1-1055.html","Removed","HTML page removed after backup. Source images were not touched.","D:\github-backups\ron-english-toys\remove-selected-custom-toy-pages-v1-20260513-110333\items\ron-english-giant-scratch-1-1055.html"
"Remove item page","items/ron-english-giant-scratch-2-268.html","Removed","HTML page removed after backup. Source images were not touched.","D:\github-backups\ron-english-toys\remove-selected-custom-toy-pages-v1-20260513-110333\items\ron-english-giant-scratch-2-268.html"
"Remove item page","items/ron-english-giant-ted-1-241.html","Removed","HTML page removed after backup. Source images were not touched.","D:\github-backups\ron-english-toys\remove-selected-custom-toy-pages-v1-20260513-110333\items\ron-english-giant-ted-1-241.html"
"Remove item page","items/ron-english-giant-ted-2-530.html","Removed","HTML page removed after backup. Source images were not touched.","D:\github-backups\ron-english-toys\remove-selected-custom-toy-pages-v1-20260513-110333\items\ron-english-giant-ted-2-530.html"
"Remove item page","items/mousemask-murphy-in-airplane-limited-edition-of-30-1073.html","Removed","HTML page removed after backup. Source images were not touched.","D:\github-backups\ron-english-toys\remove-selected-custom-toy-pages-v1-20260513-110333\items\mousemask-murphy-in-airplane-limited-edition-of-30-1073.html"
"Remove item page","items/two-ton-sam-limited-edition-of-30-413.html","Removed","HTML page removed after backup. Source images were not touched.","D:\github-backups\ron-english-toys\remove-selected-custom-toy-pages-v1-20260513-110333\items\two-ton-sam-limited-edition-of-30-413.html"
"Remove item page","items/untitled-666.html","Removed","HTML page removed after backup. Source images were not touched.","D:\github-backups\ron-english-toys\remove-selected-custom-toy-pages-v1-20260513-110333\items\untitled-666.html"
"Remove item page","items/untitled-766.html","Removed","HTML page removed after backup. Source images were not touched.","D:\github-backups\ron-english-toys\remove-selected-custom-toy-pages-v1-20260513-110333\items\untitled-766.html"
"Remove item page","items/untitled-961.html","Removed","HTML page removed after backup. Source images were not touched.","D:\github-backups\ron-english-toys\remove-selected-custom-toy-pages-v1-20260513-110333\items\untitled-961.html"
"Remove item page","items/84-black-starskull-walkimg-stick-462.html","Removed","HTML page removed after backup. Source images were not touched.","D:\github-backups\ron-english-toys\remove-selected-custom-toy-pages-v1-20260513-110333\items\84-black-starskull-walkimg-stick-462.html"
