"Action","Target","Status","Detail","BackupPath"
"Remove Telegrinnie index cards","toys/art-toys-and-editions/index.html","Updated","Removed 5 card(s): Telegrinnie 4ft Yellow [telegrinnie-4ft-yellow-118.html]; Telegrinnie 4ft Red [telegrinnie-4ft-red-21.html]; Telegrinnie - Green [48-green-telegrinnie-993.html]; Telegrinnie 4ft Gold [telegrinnie-4ft-gold-549.html]; Telegrinnie - Clear Chest Cover (JPS Edition) [telegrinnie-clear-chest-cover-jps-edition.html]","D:\github-backups\ron-english-toys\remove-telegrinnie-pages-and-fix-smiley-piggy-image-v1-20260513-094918\toys\art-toys-and-editions\index.html"
"Remove Telegrinnie index cards","toys/custom-toys/index.html","No change","No matching cards found.",""
"Remove Telegrinnie item page","items/telegrinnie-clear-chest-cover-jps-edition.html","Removed","HTML page removed after backup. Source images were not touched.","D:\github-backups\ron-english-toys\remove-telegrinnie-pages-and-fix-smiley-piggy-image-v1-20260513-094918\items\telegrinnie-clear-chest-cover-jps-edition.html"
"Remove Telegrinnie item page","items/48-green-telegrinnie-993.html","Removed","HTML page removed after backup. Source images were not touched.","D:\github-backups\ron-english-toys\remove-telegrinnie-pages-and-fix-smiley-piggy-image-v1-20260513-094918\items\48-green-telegrinnie-993.html"
"Remove Telegrinnie item page","items/telegrinnie-4ft-yellow-118.html","Removed","HTML page removed after backup. Source images were not touched.","D:\github-backups\ron-english-toys\remove-telegrinnie-pages-and-fix-smiley-piggy-image-v1-20260513-094918\items\telegrinnie-4ft-yellow-118.html"
"Remove Telegrinnie item page","items/telegrinnie-4ft-red-21.html","Removed","HTML page removed after backup. Source images were not touched.","D:\github-backups\ron-english-toys\remove-telegrinnie-pages-and-fix-smiley-piggy-image-v1-20260513-094918\items\telegrinnie-4ft-red-21.html"
"Remove Telegrinnie item page","items/telegrinnie-4ft-gold-549.html","Removed","HTML page removed after backup. Source images were not touched.","D:\github-backups\ron-english-toys\remove-telegrinnie-pages-and-fix-smiley-piggy-image-v1-20260513-094918\items\telegrinnie-4ft-gold-549.html"
"Fix Smiley index card image","toys/art-toys-and-editions/index.html","Updated","Smiley Grin Piggy Bank - Gold & Platinum [smiley-grin-piggy-bank-gold-platinum-grill-278.html] old=../../images/Trampt/Smiley%20Grin%20Piggy%20Bank%20-%20Gold-Platinum%20Grill%20-%20DESIGNER%20TOY.jpeg new=../../images/Trampt/Smiley%20Grin%20Piggy%20Bank%20-%20Gold-Platinum%20Grill%20-%20DESIGNER%20TOY-3.jpeg","D:\github-backups\ron-english-toys\remove-telegrinnie-pages-and-fix-smiley-piggy-image-v1-20260513-094918\toys\art-toys-and-editions\index.html"
"Fix Smiley index card image","toys/custom-toys/index.html","No change","No matching Smiley card found or card image already unchanged.",""
"Fix Smiley item page image","items/smiley-grin-piggy-bank-gold-platinum-grill-278.html","Updated","Old image: ../images/Trampt/Smiley%20Grin%20Piggy%20Bank%20-%20Gold-Platinum%20Grill%20-%20DESIGNER%20TOY.jpeg; new image: ../images/Trampt/Smiley%20Grin%20Piggy%20Bank%20-%20Gold-Platinum%20Grill%20-%20DESIGNER%20TOY-3.jpeg","D:\github-backups\ron-english-toys\remove-telegrinnie-pages-and-fix-smiley-piggy-image-v1-20260513-094918\items\smiley-grin-piggy-bank-gold-platinum-grill-278.html"
