"Action","Target","Reason"
"Remove from Art index","items/action-jackson-480.html","No matching card found."
"Remove from Art index","items/action-mc-173.html","No matching card found."
"Remove from Art index","items/blanka-15-figure-82.html","No matching card found."
"Remove from Art index","items/cassie-cowgirl-circus-sideshow-27.html","No matching card found."
"Remove from Art index","items/cereal-killers-yucky-children-charmer-752.html","No matching card found."
"Remove from Art index","items/dinogrenade-hand-painted-409.html","No matching card found."
"Remove from Art index","items/dinogrenade-hand-painted-69.html","No matching card found."
"Remove from Art index","items/dinogrenade-hand-painted-740.html","No matching card found."
"Remove from Art index","items/evil-mc-golden-boy-680.html","No matching card found."
"Remove from Art index","items/flesh-colored-blank-mousezilla-514.html","No matching card found."
"Remove from Art index","items/heart-brain-pink-621.html","No matching card found."
"Remove from Art index","items/jewsus-circus-sideshow-327.html","No matching card found."
"Remove from Art index","items/Mousezilla - Green & Yellow-1029.html","No matching card found."
"Remove from Art index","items/popeye-grin-gid-version-186.html","No matching card found."
"Remove from Art index","items/poultry-rex-painted-purple-dcon-16-95.html","No matching card found."
"Remove from Art index","items/poultry-rex-slime-green-443.html","No matching card found."
"Remove from Art index","items/ronnie-rabbbit-705.html","No matching card found."
"Remove from Art index","items/ronnnie-rabbbit-108.html","No matching card found."
"Remove from Art index","items/terror-demon-959.html","No matching card found."
"Remove from Art index","items/yil-yang-circus-sideshow-522.html","No matching card found."
"Move to Custom","items/urban-bigfoot-192.html","No card found in Art index."
"Move to Custom","items/dinogrenade-hand-painted-717.html","No card found in Art index."
