"Action","Target","Status","Detail","BackupPath"
"Remove from Art index","Stitch - B&W","Removed","Removed 4 visible card(s).",""
"Write Art index","toys/art-toys-and-editions/index.html","Updated","Wrote removed-card changes.","D:\github-backups\ron-english-toys\targeted-toy-index-cleanup-and-moves-v1-20260513-084143\toys\art-toys-and-editions\index.html"
"Move to Custom - update page title","items/urban-bigfoot-192.html","Updated","Updated visible page title.","D:\github-backups\ron-english-toys\targeted-toy-index-cleanup-and-moves-v1-20260513-084143\items\urban-bigfoot-192.html"
"Move to Custom - update page title","items/dinogrenade-hand-painted-717.html","Updated","Updated visible page title.","D:\github-backups\ron-english-toys\targeted-toy-index-cleanup-and-moves-v1-20260513-084143\items\dinogrenade-hand-painted-717.html"
"Fix Blue Ice item image","items/blue-ice-shocking-sunflower-ronnie-968.html","Updated","Updated first item image.","D:\github-backups\ron-english-toys\targeted-toy-index-cleanup-and-moves-v1-20260513-084143\items\blue-ice-shocking-sunflower-ronnie-968.html"
"Fix Blue Ice index image","items/blue-ice-shocking-sunflower-ronnie-968.html","Updated","Updated Art index card image.","D:\github-backups\ron-english-toys\targeted-toy-index-cleanup-and-moves-v1-20260513-084143\toys\art-toys-and-editions\index.html"
"Create item page","items/disguisedzilla.html","Created","Created new item page.",""
"Update Art index card by title","Disguisedzilla","Updated","Updated image on title-matched card.","D:\github-backups\ron-english-toys\targeted-toy-index-cleanup-and-moves-v1-20260513-084143\toys\art-toys-and-editions\index.html"
"Create item page","items/hologramzilla.html","Created","Created new item page.",""
"Update Art index card by title","Hologramzilla","Updated","Updated image on title-matched card.","D:\github-backups\ron-english-toys\targeted-toy-index-cleanup-and-moves-v1-20260513-084143\toys\art-toys-and-editions\index.html"
"Create item page","items/telegrinnie-clear-chest-cover-jps-edition.html","Created","Created new item page.",""
"Update Art index card by title","Telegrinnie - Clear Chest Cover (JPS Edition)","Updated","Updated image on title-matched card.","D:\github-backups\ron-english-toys\targeted-toy-index-cleanup-and-moves-v1-20260513-084143\toys\art-toys-and-editions\index.html"
"Create item page","items/telegrinnies-pink-clear-chest-cover-gold-teeth-jps-edition.html","Created","Created new item page.",""
"Add Art index card","Telegrinnies - Pink with Clear Chest Cover & Gold Teeth (JPS Edition)","Added","No existing card found, so a new fallback card was added.","D:\github-backups\ron-english-toys\targeted-toy-index-cleanup-and-moves-v1-20260513-084143\toys\art-toys-and-editions\index.html"
"Fix Telegrinnie existing index cards","Telegrinnie / Telegrinnies","Updated","Applied title-based image fixes.","D:\github-backups\ron-english-toys\targeted-toy-index-cleanup-and-moves-v1-20260513-084143\toys\art-toys-and-editions\index.html"
