"CurrentTitle","PagePath","CurrentSection","CurrentPlatformCharacter","SuggestedGroup","SuggestedCleanTitle","NeedsReview","Notes","Platform","Character","Series","Manufacturer","Category","Edition","Size","MoneyFormattingFlag","LastModified"
"100% + 400% Ron English Bearbrick (Set)","items/100-400-ron-english-bearbrick-set-7.html","Custom Toys","Bearbrick","Other / Needs Review","100% + 400% Ron English Bearbrick (Set)","Yes","No confident suggested group from title/platform/metadata.","Bearbrick","","","","Art toy / edition","","11.00""","","2026-05-12 14:51:26"
"100% Bearbrick x RonEnglish DCon 2025","items/100-bearbrick-x-ronenglish-dcon-2025-444.html","Custom Toys","Bearbrick","Other / Needs Review","100% Bearbrick x RonEnglish DCon 2025","Yes","No confident suggested group from title/platform/metadata.","Bearbrick","","","","Custom toy","","auto;","","2026-05-12 14:51:26"
"4.75"" Boxing Brain Clear (Left Hand)","items/4-75-boxing-brain-clear-left-hand-288.html","Custom Toys","Boxing Brain","Other / Needs Review","4.75"" Boxing Brain Clear (Left Hand)","Yes","No confident suggested group from title/platform/metadata.","Boxing Brain","","","","Art toy / edition","","4.75""","","2026-05-12 14:51:26"
"4.75"" Boxing Brain Clear (Right Hand)","items/4-75-boxing-brain-clear-right-hand-650.html","Custom Toys","Boxing Brain","Other / Needs Review","4.75"" Boxing Brain Clear (Right Hand)","Yes","No confident suggested group from title/platform/metadata.","Boxing Brain","","","","Art toy / edition","","4.75""","","2026-05-12 14:51:26"
"4.75"" Boxing Brain Gold (Right Hand)","items/4-75-boxing-brain-gold-right-hand-798.html","Custom Toys","Boxing Brain","Other / Needs Review","4.75"" Boxing Brain Gold (Right Hand)","Yes","No confident suggested group from title/platform/metadata.","Boxing Brain","","","","Art toy / edition","","4.75""","","2026-05-12 14:51:26"
"4.75"" Boxing Brain Red (Left Hand)","items/4-75-boxing-brain-red-left-hand-229.html","Custom Toys","Boxing Brain","Other / Needs Review","4.75"" Boxing Brain Red (Left Hand)","Yes","No confident suggested group from title/platform/metadata.","Boxing Brain","","","","Art toy / edition","","4.75""","","2026-05-12 14:51:26"
"4.75"" Boxing Brain Red (Right Hand)","items/4-75-boxing-brain-red-right-hand-712.html","Custom Toys","Boxing Brain","Other / Needs Review","4.75"" Boxing Brain Red (Right Hand)","Yes","No confident suggested group from title/platform/metadata.","Boxing Brain","","","","Art toy / edition","","4.75""","","2026-05-12 14:51:26"
"4.75"" Boxing Brain Silver (Left Hand)","items/4-75-boxing-brain-silver-left-hand-741.html","Custom Toys","Boxing Brain","Other / Needs Review","4.75"" Boxing Brain Silver (Left Hand)","Yes","No confident suggested group from title/platform/metadata.","Boxing Brain","","","","Art toy / edition","","4.75""","","2026-05-12 14:51:26"
"48"" Green Telegrinnie","items/48-green-telegrinnie-993.html","Custom Toys","","Other / Needs Review","48"" Green Telegrinnie","Yes","No confident suggested group from title/platform/metadata. No platform/character/series metadata found.","","","","","Art toy / edition","10","48 inches high","","2026-05-12 14:51:26"
"84"" Black Starskull Walkimg Stick","items/84-black-starskull-walkimg-stick-462.html","Custom Toys","","Other / Needs Review","84"" Black Starskull Walkimg Stick","Yes","No confident suggested group from title/platform/metadata. No platform/character/series metadata found.","","","","","Art toy / edition","30","84 inches high","","2026-05-12 14:51:26"
"9"" Boxing Brain","items/9-boxing-brain-17.html","Custom Toys","Boxing Brain","Other / Needs Review","9"" Boxing Brain","Yes","No confident suggested group from title/platform/metadata.","Boxing Brain","","","","Art toy / edition","300","9.00""","","2026-05-12 15:02:04"
"9"" Boxing Brain - Black/Gold","items/9-boxing-brain-black-gold-219.html","Custom Toys","Boxing Brain","Other / Needs Review","9"" Boxing Brain - Black/Gold","Yes","No confident suggested group from title/platform/metadata.","Boxing Brain","","","","Art toy / edition","80","9.00""","","2026-05-12 15:02:04"
"9"" Qhrist","items/9-qhrist-22.html","Custom Toys","Qhrist","Other / Needs Review","9"" Qhrist","Yes","No confident suggested group from title/platform/metadata.","Qhrist","","","","Art toy / edition","","9.00""","","2026-05-12 14:51:27"
"Action Jackson","items/action-jackson-480.html","Custom Toys","Action Figure","Other / Needs Review","Action Jackson","Yes","No confident suggested group from title/platform/metadata.","Action Figure","","","","Art toy / edition","","auto;","","2026-05-12 15:02:04"
"Action Jackson","items/action-jackson-615.html","Custom Toys","","Other / Needs Review","Action Jackson","Yes","No confident suggested group from title/platform/metadata. No platform/character/series metadata found.","","","","","Art Print","10","16.00""","","2026-05-12 08:45:50"
"Action Jackson & Bauhaus","items/action-jackson-bauhaus-678.html","Custom Toys","","Other / Needs Review","Action Jackson & Bauhaus","Yes","No confident suggested group from title/platform/metadata. No platform/character/series metadata found.","","","","","Original Art","","52.00""","","2026-05-12 09:10:11"
"Action Jackson and Bauhaus Barbie Giclée Print","items/action-jackson-and-bauhaus-barbie-giclee-print-233.html","Custom Toys","","Other / Needs Review","Action Jackson and Bauhaus Barbie Giclée Print","Yes","No confident suggested group from title/platform/metadata. No platform/character/series metadata found.","","","","","Art Print","10","12.00""","","2026-05-12 15:02:04"
"Action MC","items/action-mc-173.html","Custom Toys","Bootleg Action Figure","Other / Needs Review","Action MC","Yes","No confident suggested group from title/platform/metadata.","Bootleg Action Figure","","","","Art toy / edition","50","auto;","","2026-05-12 15:02:04"
"ADTAGGED","items/adtagged-103.html","Custom Toys","AT-AT","Other / Needs Review","ADTAGGED","Yes","No confident suggested group from title/platform/metadata.","AT-AT","","","","Custom toy","1","16.00""","","2026-05-12 14:57:02"
"Alfred E. Newman Skull","items/alfred-e-newman-skull-300.html","Custom Toys","","Other / Needs Review","Alfred E. Newman Skull","Yes","No confident suggested group from title/platform/metadata. No platform/character/series metadata found.","","","","","Original Art","1","17.00""","","2026-05-12 15:02:04"
"ALT Football","items/alt-football-584.html","Custom Toys","","Other / Needs Review","ALT Football","Yes","No confident suggested group from title/platform/metadata. No platform/character/series metadata found.","","","","","Original Art","1","11.00""","","2026-05-12 15:02:04"
"Amber XRay MC","items/amber-xray-mc-453.html","Custom Toys","X-Ray MC","Other / Needs Review","Amber XRay MC","Yes","No confident suggested group from title/platform/metadata.","X-Ray MC","","","","Art toy / edition","35","6.00""","","2026-05-12 15:02:04"
"American Depress","items/american-depress-682.html","Custom Toys","American Depress","Other / Needs Review","American Depress","Yes","No confident suggested group from title/platform/metadata.","American Depress","","","","Art toy / edition","200","12.00""","","2026-05-12 15:02:04"
"American Depressed Print","items/american-depressed-print-842.html","Custom Toys","","Other / Needs Review","American Depressed Print","Yes","No confident suggested group from title/platform/metadata. No platform/character/series metadata found.","","","","","Art Print","90","11.00""","","2026-05-12 15:02:04"
"Artist Gnome - GID (SDCC '16)","items/artist-gnome-gid-sdcc-16-601.html","Custom Toys","Artist Gnome","Other / Needs Review","Artist Gnome - GID (SDCC '16)","Yes","No confident suggested group from title/platform/metadata.","Artist Gnome","","","","Art toy / edition","","auto;","","2026-05-12 15:02:04"
"Artist Gnome - Golden Hair (ComplexCon '16)","items/artist-gnome-golden-hair-complexcon-16-329.html","Custom Toys","Artist Gnome","Other / Needs Review","Artist Gnome - Golden Hair (ComplexCon '16)","Yes","No confident suggested group from title/platform/metadata.","Artist Gnome","","","","Art toy / edition","","auto;","","2026-05-12 14:51:27"
"Artist Gnome - OG Edition","items/artist-gnome-og-edition-684.html","Custom Toys","Artist Gnome","Other / Needs Review","Artist Gnome - OG Edition","Yes","No confident suggested group from title/platform/metadata.","Artist Gnome","","","","Art toy / edition","300","4.00""","","2026-05-12 15:02:04"
"Astrobrite Lemon","items/astrobrite-lemon-182.html","Custom Toys","Punk Skunk","Other / Needs Review","Astrobrite Lemon","Yes","No confident suggested group from title/platform/metadata.","Punk Skunk","","","","Art toy / edition","","10.00""","","2026-05-12 15:02:04"
"ATATIGER","items/atatiger-900.html","Custom Toys","AT-AT","Other / Needs Review","ATATIGER","Yes","No confident suggested group from title/platform/metadata.","AT-AT","","","","Custom toy","1","16.00""","","2026-05-12 14:57:02"
"Backyard soldiers","items/backyard-soldiers-382.html","Custom Toys","","Other / Needs Review","Backyard soldiers","Yes","No confident suggested group from title/platform/metadata. No platform/character/series metadata found.","","","","","Original Art","","24.00""","","2026-05-12 09:10:18"
"Bad Man and Sidekick","items/bad-man-and-sidekick-129.html","Custom Toys","","Other / Needs Review","Bad Man and Sidekick","Yes","No confident suggested group from title/platform/metadata. No platform/character/series metadata found.","","","","","Original Art","","14.00""","","2026-05-12 15:02:04"
"Bangkok Star Skull","items/bangkok-star-skull-754.html","Custom Toys","Star Skull Walking Stick","Other / Needs Review","Bangkok Star Skull","Yes","No confident suggested group from title/platform/metadata.","Star Skull Walking Stick","","","","Art toy / edition","88","8.00""","","2026-05-12 14:51:27"
