CurrentTitle,PagePath,CurrentSection,CurrentPlatformCharacter,SuggestedGroup,SuggestedCleanTitle,NeedsReview,ImageIssue = Wrong image,correct image filename,image notes,Notes,Platform,Character,Series,Manufacturer,Category,Edition,Size,MoneyFormattingFlag,LastModified
Abraham Obama,items/abraham-obama-611.html,Custom Toys,,Abraham Obama,Abraham Obama,No,,,,No platform/character/series metadata found.,,,,,Art Print,200,"24.00""",,5/12/2026 8:45
Abraham Obama Electoral Map 2012,items/abraham-obama-electoral-map-2012-723.html,Custom Toys,,Abraham Obama,Abraham Obama Electoral Map 2012,No,,,,No platform/character/series metadata found.,,,,,Art Print,44,"24.00""",,5/12/2026 15:02
Obama Hulk,items/obama-hulk-102.html,Custom Toys,,Abraham Obama,Obama Hulk,No,,,,No platform/character/series metadata found.,,,,,Art Print,30,,,5/12/2026 15:02
Grin Peko Girl,items/grin-peko-girl-325.html,Custom Toys,,Grin,Grin Peko Girl,No,,,,No platform/character/series metadata found.,,,,,Art Print,200,"23.60""",,5/12/2026 8:45
R2-D2 STAR WARS Grin,items/r2-d2-star-wars-grin-605.html,Custom Toys,,Grin,R2-D2 STAR WARS Grin,No,,,,No platform/character/series metadata found.,,,,,Art Print,50,"10.00""",,5/12/2026 8:45
Rick and Morty Grin,items/rick-and-morty-grin-819.html,Custom Toys,,Grin,Rick and Morty Grin,No,,,,No platform/character/series metadata found.,,,,,Art Print,50,"25.00""",,5/12/2026 15:02
Stormtrooper Grin,items/stormtrooper-grin-1084.html,Custom Toys,Grin | Medium | Giclée (Art Print),Grin,Stormtrooper Grin,No,,,,,,,Grin | Medium | Giclée (Art Print),,Art Print,20,"8.00""",,5/12/2026 15:02
Light Cult Crypto Club: Framed Bulb (Purple),items/light-cult-crypto-club-framed-bulb-purple-784.html,Custom Toys,,Light Cult,Light Cult Crypto Club: Framed Bulb (Purple),No,,,,No platform/character/series metadata found.,,,,,Art Print,120,"11.50""",,5/12/2026 8:45
Little Bigfoot Screen Print,items/little-bigfoot-screen-print-652.html,Custom Toys,,Little Bigfoot,Little Bigfoot Screen Print,No,,,,No platform/character/series metadata found.,,,,,Art Print,250,"24.00""",,5/12/2026 15:02
Mc Supersized Dissect (Purple Variant),items/mc-supersized-dissect-purple-variant-884.html,Custom Toys,,MC Supersized,Mc Supersized Dissect (Purple Variant),No,,,,No platform/character/series metadata found.,,,,,Art Print,40,"24.00""",,5/12/2026 8:45
Action Jackson,items/action-jackson-615.html,Custom Toys,,Other / Needs Review,Action Jackson,Yes,,,,No confident suggested group from title/platform/metadata. No platform/character/series metadata found.,,,,,Art Print,10,"16.00""",,5/12/2026 8:45
Action Jackson and Bauhaus Barbie Giclée Print,items/action-jackson-and-bauhaus-barbie-giclee-print-233.html,Custom Toys,,Other / Needs Review,Action Jackson and Bauhaus Barbie Giclée Print,Yes,,,,No confident suggested group from title/platform/metadata. No platform/character/series metadata found.,,,,,Art Print,10,"12.00""",,5/12/2026 15:02
American Depressed Print,items/american-depressed-print-842.html,Custom Toys,,Other / Needs Review,American Depressed Print,Yes,,,,No confident suggested group from title/platform/metadata. No platform/character/series metadata found.,,,,,Art Print,90,"11.00""",,5/12/2026 15:02
Camo Deer in Autumn,items/camo-deer-in-autumn-338.html,Custom Toys,,Other / Needs Review,Camo Deer in Autumn,Yes,,,,No confident suggested group from title/platform/metadata. No platform/character/series metadata found.,,,,,Art Print,75,"26.00""",,5/12/2026 15:02
Camo Peace Clown,items/camo-peace-clown-313.html,Custom Toys,,Other / Needs Review,Camo Peace Clown,Yes,,,,No confident suggested group from title/platform/metadata. No platform/character/series metadata found.,,,,,Art Print,100,"36.00""",,5/12/2026 8:45
Camo Tramp Boy,items/camo-tramp-boy-505.html,Custom Toys,,Other / Needs Review,Camo Tramp Boy,Yes,,,,No confident suggested group from title/platform/metadata. No platform/character/series metadata found.,,,,,Art Print,36,"38.00""",,5/12/2026 8:45
Capitan Kidd,items/capitan-kidd-119.html,Custom Toys,,Other / Needs Review,Capitan Kidd,Yes,,,,No confident suggested group from title/platform/metadata. No platform/character/series metadata found.,,,,,Art Print,100,"20.00""",,5/12/2026 8:45
Captain Caption,items/captain-caption-430.html,Custom Toys,,Other / Needs Review,Captain Caption,Yes,,,,No confident suggested group from title/platform/metadata. No platform/character/series metadata found.,,,,,Art Print,100,"24.00""",,5/12/2026 15:02
Cat fish,items/cat-fish-1025.html,Custom Toys,,Other / Needs Review,Cat fish,Yes,,,,No confident suggested group from title/platform/metadata. No platform/character/series metadata found.,,,,,Art Print,35,,,5/12/2026 15:02
Coulrophobic Clown,items/coulrophobic-clown-123.html,Custom Toys,,Other / Needs Review,Coulrophobic Clown,Yes,,,,No confident suggested group from title/platform/metadata. No platform/character/series metadata found.,,,,,Art Print,50,,,5/12/2026 15:02
Diamond Star Skull,items/diamond-star-skull-807.html,Custom Toys,,Other / Needs Review,Diamond Star Skull,Yes,,,,No confident suggested group from title/platform/metadata. No platform/character/series metadata found.,,,,,Art Print,100,"24.00""",,5/12/2026 15:02
Eye of the Electric Illuminati,items/eye-of-the-electric-illuminati-362.html,Custom Toys,,Other / Needs Review,Eye of the Electric Illuminati,Yes,,,,No confident suggested group from title/platform/metadata. No platform/character/series metadata found.,,,,,Art Print,100,"13.00""",,5/12/2026 15:02
Grade School Guernica,items/grade-school-guernica-673.html,Custom Toys,,Other / Needs Review,Grade School Guernica,Yes,,,,No confident suggested group from title/platform/metadata. No platform/character/series metadata found.,,,,,Art Print,95,,,5/12/2026 15:02
Kiss Teletubbies,items/kiss-teletubbies-1082.html,Custom Toys,,Other / Needs Review,Kiss Teletubbies,Yes,,,,No confident suggested group from title/platform/metadata. No platform/character/series metadata found.,,,,,Art Print,50,"10.00""",,5/12/2026 15:02
Last Supper in South Park,items/last-supper-in-south-park-30.html,Custom Toys,,Other / Needs Review,Last Supper in South Park,Yes,,,,No confident suggested group from title/platform/metadata. No platform/character/series metadata found.,,,,,Art Print,150,"13.00""",,5/12/2026 15:02
McTripping,items/mctripping-977.html,Custom Toys,,Other / Needs Review,McTripping,Yes,,,,No confident suggested group from title/platform/metadata. No platform/character/series metadata found.,,,,,Art Print,150,"7.50""",,5/12/2026 8:45
Money Print 1,items/money-print-1-860.html,Custom Toys,,Other / Needs Review,Money Print 1,Yes,,,,No confident suggested group from title/platform/metadata. No platform/character/series metadata found.,,,,,Art Print,,,,5/12/2026 15:02
Money Print 2,items/money-print-2-32.html,Custom Toys,,Other / Needs Review,Money Print 2,Yes,,,,No confident suggested group from title/platform/metadata. No platform/character/series metadata found.,,,,,Art Print,,,,5/12/2026 15:02
Muslim Mickey,items/muslim-mickey-495.html,Custom Toys,,Other / Needs Review,Muslim Mickey,Yes,,,,No confident suggested group from title/platform/metadata. No platform/character/series metadata found.,,,,,Art Print,35,"23.00""",,5/12/2026 15:02
Pop Marilyn Mickeys,items/pop-marilyn-mickeys-394.html,Custom Toys,,Other / Needs Review,Pop Marilyn Mickeys,Yes,,,,No confident suggested group from title/platform/metadata. No platform/character/series metadata found.,,,,,Art Print,50,"20.00""",,5/12/2026 15:02
"Primus - New York, NY 2012",items/primus-new-york-ny-2012-816.html,Custom Toys,,Other / Needs Review,"Primus - New York, NY 2012",Yes,,,,No confident suggested group from title/platform/metadata. No platform/character/series metadata found.,,,,,Art Print,200,,,5/12/2026 8:45
Rainbow Figment,items/rainbow-figment-490.html,Custom Toys,,Other / Needs Review,Rainbow Figment,Yes,,,,No confident suggested group from title/platform/metadata. No platform/character/series metadata found.,,,,,Art Print,100,"7.00""",,5/12/2026 15:02
Son of Electric Illuminati,items/son-of-electric-illuminati-510.html,Custom Toys,,Other / Needs Review,Son of Electric Illuminati,Yes,,,,No confident suggested group from title/platform/metadata. No platform/character/series metadata found.,,,,,Art Print,100,"24.00""",,5/12/2026 15:02
Star Skull (Nine),items/star-skull-nine-714.html,Custom Toys,,Other / Needs Review,Star Skull (Nine),Yes,,,,No confident suggested group from title/platform/metadata. No platform/character/series metadata found.,,,,,Art Print,20,"30.00""",,5/12/2026 8:45
Starskull DJ,items/starskull-dj-1046.html,Custom Toys,,Other / Needs Review,Starskull DJ,Yes,,,,No confident suggested group from title/platform/metadata. No platform/character/series metadata found.,,,,,Art Print,20,"30.00""",,5/12/2026 15:02
Status Faction,items/status-faction-347.html,Custom Toys,,Other / Needs Review,Status Faction,Yes,,,,No confident suggested group from title/platform/metadata. No platform/character/series metadata found.,,,,,Art Print,50,"20.00""",,5/12/2026 15:02
Status Faction,items/status-faction-732.html,Custom Toys,,Other / Needs Review,Status Faction,Yes,,,,No confident suggested group from title/platform/metadata. No platform/character/series metadata found.,,,,,Art Print,50,"28.00""",,5/12/2026 8:45
Super Boy,items/super-boy-877.html,Custom Toys,,Other / Needs Review,Super Boy,Yes,,,,No confident suggested group from title/platform/metadata. No platform/character/series metadata found.,,,,,Art Print,,"20.00""",,5/12/2026 8:45
Super Size Me Movie Print,items/super-size-me-movie-print-489.html,Custom Toys,,Other / Needs Review,Super Size Me Movie Print,Yes,,,,No confident suggested group from title/platform/metadata. No platform/character/series metadata found.,,,,,Art Print,,"18.00""",,5/12/2026 15:02
The Electric Ghosts (Daniel Johnston & Jack Medicine),items/the-electric-ghosts-daniel-johnston-jack-medicine-513.html,Custom Toys,,Other / Needs Review,The Electric Ghosts (Daniel Johnston & Jack Medicine),Yes,,,,No confident suggested group from title/platform/metadata. No platform/character/series metadata found.,,,,,Art Print,10,"20.00""",,5/12/2026 15:02
Virgin Romance,items/virgin-romance-614.html,Custom Toys,,Other / Needs Review,Virgin Romance,Yes,,,,No confident suggested group from title/platform/metadata. No platform/character/series metadata found.,,,,,Art Print,50,,,5/12/2026 15:02
Young MC,items/young-mc-532.html,Custom Toys,,Other / Needs Review,Young MC,Yes,,,,No confident suggested group from title/platform/metadata. No platform/character/series metadata found.,,,,,Art Print,100,"23.60""",,5/12/2026 8:45
Zarkana - Ron English,items/zarkana-ron-english-698.html,Custom Toys,Cirque du Soleil - Zarkana | Medium | Screenprint,Other / Needs Review,Zarkana - Ron English,Yes,,,,No confident suggested group from title/platform/metadata.,,,Cirque du Soleil - Zarkana | Medium | Screenprint,,Art Print,50,"36.00""",,5/12/2026 15:02
1/2 dollar,items/1-2-dollar-139.html,Custom Toys,Popaganda - Billboards | Medium | Giclée (Art Print),POPaganda,1/2 dollar,No,,,,,,,Popaganda - Billboards | Medium | Giclée (Art Print),,Art Print,,,,5/12/2026 8:45
Breathe,items/breathe-925.html,Custom Toys,Popaganda - Billboards | Medium | Giclée (Art Print),POPaganda,Breathe,No,,,,,,,Popaganda - Billboards | Medium | Giclée (Art Print),,Art Print,30,"9.50""",,5/12/2026 15:02
Camo boy lenticular print,items/camo-boy-lenticular-print-1047.html,Custom Toys,Popaganda - Billboards | Medium | Giclée (Art Print),POPaganda,Camo boy lenticular print,No,,,,,,,Popaganda - Billboards | Medium | Giclée (Art Print),,Art Print,,,,5/12/2026 8:45
Phat Food,items/phat-food-677.html,Custom Toys,Popaganda - Billboards | Medium | Giclée (Art Print),POPaganda,Phat Food,No,,,,,,,Popaganda - Billboards | Medium | Giclée (Art Print),,Art Print,30,,,5/12/2026 8:45
The poor,items/the-poor-55.html,Custom Toys,Popaganda - Billboards | Medium | Giclée (Art Print),POPaganda,The poor,No,,,,,,,Popaganda - Billboards | Medium | Giclée (Art Print),,Art Print,30,,,5/12/2026 8:45
Rabbbit House,items/rabbbit-house-319.html,Custom Toys,,Rabbbit,Rabbbit House,No,,,,No platform/character/series metadata found.,,,,,Art Print,25,"27.00""",,5/12/2026 15:02
All-American Temper Tot Print,items/all-american-temper-tot-print-193.html,Custom Toys,,Temper Tot,All-American Temper Tot Print,No,,,,No platform/character/series metadata found.,,,,,Art Print,40,"12.00""",,5/12/2026 15:02
TEMPER PAC,items/temper-pac-910.html,Custom Toys,,Temper Tot,TEMPER PAC,No,,,,No platform/character/series metadata found.,,,,,Art Print,100,"24.00""",,5/12/2026 8:45
TEMPER TOT PRINT A,items/temper-tot-print-a-373.html,Custom Toys,,Temper Tot,TEMPER TOT PRINT A,No,,,,No platform/character/series metadata found.,,,,,Art Print,1,"36.00""",,5/12/2026 15:02
TEMPER TOT PRINT B,items/temper-tot-print-b-786.html,Custom Toys,,Temper Tot,TEMPER TOT PRINT B,No,,,,No platform/character/series metadata found.,,,,,Art Print,1,"36.00""",,5/12/2026 15:02
TEMPER TOT PRINT C,items/temper-tot-print-c-1066.html,Custom Toys,,Temper Tot,TEMPER TOT PRINT C,No,,,,No platform/character/series metadata found.,,,,,Art Print,1,"36.00""",,5/12/2026 15:02
TEMPER TOT PRINT D,items/temper-tot-print-d-734.html,Custom Toys,,Temper Tot,TEMPER TOT PRINT D,No,,,,No platform/character/series metadata found.,,,,,Art Print,1,"36.00""",,5/12/2026 15:02
TEMPER TOT PRINT E,items/temper-tot-print-e-364.html,Custom Toys,,Temper Tot,TEMPER TOT PRINT E,No,,,,No platform/character/series metadata found.,,,,,Art Print,1,"36.00""",,5/12/2026 15:02
TEMPER TOT PRINT F,items/temper-tot-print-f-85.html,Custom Toys,,Temper Tot,TEMPER TOT PRINT F,No,,,,No platform/character/series metadata found.,,,,,Art Print,1,"36.00""",,5/12/2026 15:02
TEMPER TOT PRINT G,items/temper-tot-print-g-1035.html,Custom Toys,,Temper Tot,TEMPER TOT PRINT G,No,,,,No platform/character/series metadata found.,,,,,Art Print,1,"36.00""",,5/12/2026 15:02
TEMPER TOT PRINT H,items/temper-tot-print-h-688.html,Custom Toys,,Temper Tot,TEMPER TOT PRINT H,No,,,,No platform/character/series metadata found.,,,,,Art Print,1,"36.00""",,5/12/2026 15:02
TEMPER TOT PRINT I,items/temper-tot-print-i-1022.html,Custom Toys,,Temper Tot,TEMPER TOT PRINT I,No,,,,No platform/character/series metadata found.,,,,,Art Print,1,"36.00""",,5/12/2026 15:02
TEMPER TOT PRINT J,items/temper-tot-print-j-858.html,Custom Toys,,Temper Tot,TEMPER TOT PRINT J,No,,,,No platform/character/series metadata found.,,,,,Art Print,1,"36.00""",,5/12/2026 15:02
TEMPER TOT PRINT K,items/temper-tot-print-k-866.html,Custom Toys,,Temper Tot,TEMPER TOT PRINT K,No,,,,No platform/character/series metadata found.,,,,,Art Print,1,"36.00""",,5/12/2026 15:02
