"CurrentTitle","SuggestedCleanTitle","PagePath","CurrentSection","SuggestedGroup","Category","Platform","Manufacturer","Edition","Size","Notes","ImageNotes","RecommendedAction"
"Abraham Obama - Black","Abraham Obama - Black","items/abraham-obama-black-435.html","Custom Toys","Abraham Obama","Art toy / edition","Abraham Obama","","50","auto;","","delete - it is a drawing","Remove from toy/custom index review; likely drawing/sketch material."
"Abraham Obama - Bronze","Abraham Obama - Bronze","items/abraham-obama-bronze-703.html","Custom Toys","Abraham Obama","Art toy / edition","Abraham Obama","","50","16.00","","delete - it is a drawing","Remove from toy/custom index review; likely drawing/sketch material."
"Bart Grin - OG","Bart Grin - OG","items/1-1-bart-grin-og-52.html","Custom Toys","Bart Grin","Art toy / edition","Bart Grin","","10","4.00","remove this, it is 4 ft tall so should be in sculptures","","Review for Sculptures section instead of toy/custom index."
"Fat Bart","Fat Bart","items/fat-bart-167.html","Custom Toys","Bart Grin","Original Art","","","1","17.00","remove","","Review for removal from public toy/custom index."
"Cassie Cowgirl : Circus Sideshow","Cassie Cowgirl : Circus Sideshow","items/cassie-cowgirl-circus-sideshow-27.html","Custom Toys","Cathy Cowgirl","Art toy / edition","Circus Sideshow","","","3.00","remove this","","Review for removal from public toy/custom index."
"Cathy Cowgirl","Cathy Cowgirl","items/cathy-cowgirl-760.html","Custom Toys","Cathy Cowgirl","Original Art","","","1","17.00","remove","","Review for removal from public toy/custom index."
"Cowgirl hotrod","Cowgirl hotrod","items/cowgirl-hotrod-988.html","Custom Toys","Cathy Cowgirl","Original Art","","","","24.00","remove","","Review for removal from public toy/custom index."
"Texas Cartoon Cowgirl","Texas Cartoon Cowgirl","items/texas-cartoon-cowgirl-253.html","Custom Toys","Cathy Cowgirl","Original Art","","","1","70.00","remove","","Review for removal from public toy/custom index."
"Cereal Killer: Cap'n Cornstarch Sketch","Cereal Killer: Cap'n Cornstarch Sketch","items/cereal-killer-cap-n-cornstarch-sketch-356.html","Custom Toys","Cereal Killers","Original Art","","","1","14.00","remove","","Review for removal from public toy/custom index."
"Cereal Killer: Coco Paunch Sketch","Cereal Killer: Coco Paunch Sketch","items/cereal-killer-coco-paunch-sketch-311.html","Custom Toys","Cereal Killers","Original Art","","","1","11.00","remove","","Review for removal from public toy/custom index."
"Cereal Killer: Franken Fat Sketch","Cereal Killer: Franken Fat Sketch","items/cereal-killer-franken-fat-sketch-854.html","Custom Toys","Cereal Killers","Original Art","","","","14.00","remove","","Review for removal from public toy/custom index."
"Cereal Killer: Fructose Peddlers Sketch","Cereal Killer: Fructose Peddlers Sketch","items/cereal-killer-fructose-peddlers-sketch-357.html","Custom Toys","Cereal Killers","Original Art","","","1","14.00","remove","","Review for removal from public toy/custom index."
"Cereal Killer: Fruit Looped Sketch","Cereal Killer: Fruit Looped Sketch","items/cereal-killer-fruit-looped-sketch-476.html","Custom Toys","Cereal Killers","Original Art","","","1","14.00","remove","","Review for removal from public toy/custom index."
"Cereal Killer: Sugar Diabetic Bear Sketch","Cereal Killer: Sugar Diabetic Bear Sketch","items/cereal-killer-sugar-diabetic-bear-sketch-227.html","Custom Toys","Cereal Killers","Original Art","","","1","14.00","remove","","Review for removal from public toy/custom index."
"Cereal Killer: Sugar Pow Sketch","Cereal Killer: Sugar Pow Sketch","items/cereal-killer-sugar-pow-sketch-728.html","Custom Toys","Cereal Killers","Original Art","","","1","14.00","remove","","Review for removal from public toy/custom index."
"Cereal Killer: Tricks the Kids Sketch","Cereal Killer: Tricks the Kids Sketch","items/cereal-killer-tricks-the-kids-sketch-799.html","Custom Toys","Cereal Killers","Original Art","","","1","14.00","remove","","Review for removal from public toy/custom index."
"Cereal Killer: Yucky Children Charmer Sketch","Cereal Killer: Yucky Children Charmer Sketch","items/cereal-killer-yucky-children-charmer-sketch-826.html","Custom Toys","Cereal Killers","Original Art","","","1","14.00","remove","","Review for removal from public toy/custom index."
"Cereal Killers - Yucky Children Charmer","Cereal Killers - Yucky Children Charmer","items/cereal-killers-yucky-children-charmer-752.html","Custom Toys","Cereal Killers","Art toy / edition","Cereal Killers","","","3.00","remove, this is a drawing","","Remove from toy/custom index review; likely drawing/sketch material."
"Charlie Grin Turnaround Sketches","Charlie Grin Turnaround Sketches","items/charlie-grin-turnaround-sketches-37.html","Custom Toys","Charlie Grin","Original Art","","","1","12.00","remove","","Review for removal from public toy/custom index."
"Old Charlie Profile","Old Charlie Profile","items/old-charlie-profile-751.html","Custom Toys","Charlie Grin","Original Art","","","","14.00","remove","","Review for removal from public toy/custom index."
"Astro Grin (Drawing)","Astro Grin (Drawing)","items/astro-grin-drawing-675.html","Custom Toys","Grin","Original Art","","","1","14.00","remove","","Review for removal from public toy/custom index."
"Eminem Grin","Eminem Grin","items/eminem-grin-753.html","Custom Toys","Grin","Original Art","","","1","18.00","remove","","Review for removal from public toy/custom index."
"Gold Police Grin","Gold Police Grin","items/gold-police-grin-834.html","Custom Toys","Grin","Art toy / edition","Police Grin","","","auto;","remove this it is a repeat","","Review as duplicate/repeated entry before removing."
"Grin David (Drawing)","Grin David (Drawing)","items/grin-david-drawing-844.html","Custom Toys","Grin","Original Art","","","1","14.00","remove","","Review for removal from public toy/custom index."
"GRIN GOD","GRIN GOD","items/grin-god-989.html","Custom Toys","Grin","Original Art","","","1","50.00","remove","","Review for removal from public toy/custom index."
"Grin Polka Tile Painting","Grin Polka Tile Painting","items/grin-polka-tile-painting-380.html","Custom Toys","Grin","Original Art","","","1","36.00","remove","","Review for removal from public toy/custom index."
"Grin Reeper","Grin Reeper","items/grin-reeper-398.html","Custom Toys","Grin","Original Art","","","","14.00","remove","","Review for removal from public toy/custom index."
"Grin Reeper Mini","Grin Reeper Mini","items/grin-reeper-mini-49.html","Custom Toys","Grin","Original Art","","","","14.00","remove","","Review for removal from public toy/custom index."
"Hop Hop Police Grin Action Figure (NYCC '20)","Hop Hop Police Grin Action Figure (NYCC '20)","items/hop-hop-police-grin-action-figure-nycc-20-951.html","Custom Toys","Grin","Art toy / edition","Bootleg Action Figure","","","auto;","repeated, remove this one","","Review as duplicate/repeated entry before removing."
"Iron Skin Grin","Iron Skin Grin","items/iron-skin-grin-635.html","Custom Toys","Grin","Art toy / edition","Bootleg Action Figure","","50","auto;","repeated, remove this one","","Review as duplicate/repeated entry before removing."
"Jeremiah Grin","Jeremiah Grin","items/jeremiah-grin-718.html","Custom Toys","Grin","Original Art","","","","14.00","remove","","Review for removal from public toy/custom index."
