"CurrentTitle","SuggestedCleanTitle","PagePath","IndexPage","Status","ChangesOnThisIndexPage","MatchPattern","Note","BackupPath"
"CATHY COWGIRL - PINK (LIMITED EDITION OF 30)","Cathy Cowgirl - Pink","items/cathy-cowgirl-pink-limited-edition-of-30-552.html","sculptures/index.html","Updated","1","anchor","replaced old title text","D:\github-backups\ron-english-toys\update-toy-visible-names-from-review-csv-v1-20260513-074932\sculptures\index.html"
"48"" Atomic Orange Charlie Grin (+NFT)","Atomic Orange Charlie Grin (+NFT)","items/48-atomic-orange-charlie-grin-nft-762.html","sculptures/index.html","Updated","1","anchor","replaced old title text","D:\github-backups\ron-english-toys\update-toy-visible-names-from-review-csv-v1-20260513-074932\sculptures\index.html"
"48"" Black Charlie Grin","Black Charlie Grin","items/48-black-charlie-grin-486.html","sculptures/index.html","Updated","1","anchor","replaced old title text","D:\github-backups\ron-english-toys\update-toy-visible-names-from-review-csv-v1-20260513-074932\sculptures\index.html"
"48"" Electric Strawberry Charlie Grin (+NFT)","Electric Strawberry Charlie Grin (+NFT)","items/48-electric-strawberry-charlie-grin-nft-452.html","sculptures/index.html","Updated","1","anchor","replaced old title text","D:\github-backups\ron-english-toys\update-toy-visible-names-from-review-csv-v1-20260513-074932\sculptures\index.html"
"48"" Lightning Zest Charlie Grin (+NFT)","Lightning Zest Charlie Grin (+NFT)","items/48-lightning-zest-charlie-grin-nft-35.html","sculptures/index.html","Updated","1","anchor","replaced old title text","D:\github-backups\ron-english-toys\update-toy-visible-names-from-review-csv-v1-20260513-074932\sculptures\index.html"
"48"" Yellow Charlie Grin","Yellow Charlie Grin","items/48-yellow-charlie-grin-421.html","sculptures/index.html","Updated","1","anchor","replaced old title text","D:\github-backups\ron-english-toys\update-toy-visible-names-from-review-csv-v1-20260513-074932\sculptures\index.html"
"Charlie Grin - Garageworks Edition 48","Charlie Grin - Garageworks Edition","items/charlie-grin-garageworks-edition-48-151.html","sculptures/index.html","Updated","1","anchor","replaced old title text","D:\github-backups\ron-english-toys\update-toy-visible-names-from-review-csv-v1-20260513-074932\sculptures\index.html"
"Charlie Grin Zac Pac Edition - Red 48","Charlie Grin - Zac Pac Edition (Red)","items/charlie-grin-zac-pac-edition-red-48-906.html","sculptures/index.html","Updated","1","anchor","replaced old title text","D:\github-backups\ron-english-toys\update-toy-visible-names-from-review-csv-v1-20260513-074932\sculptures\index.html"
"Green LITTLE BIGFOOT","Little Bigfoot - Green","items/green-little-bigfoot-213.html","sculptures/index.html","Updated","1","anchor","replaced old title text","D:\github-backups\ron-english-toys\update-toy-visible-names-from-review-csv-v1-20260513-074932\sculptures\index.html"
"Silver Little Bigfoot","Little Bigfoot - Silver","items/silver-little-bigfoot-209.html","sculptures/index.html","Updated","1","anchor","replaced old title text","D:\github-backups\ron-english-toys\update-toy-visible-names-from-review-csv-v1-20260513-074932\sculptures\index.html"
