"HtmlFile","Attribute","Reference","ResolvedTarget","Exists"
"items\4-75-boxing-brain-red-right-hand-712.html","href","../images/Trampt/4.75%20Boxing%20Brain%20Red%20(Right%20Hand)%20-%20DESIGNER%20TOY.jpeg","D:\github\ron-english-toys\images\Trampt\4.75 Boxing Brain Red (Right Hand) - DESIGNER TOY.jpeg","False"
"items\4-groovy-mc-supersized-skull-164.html","href","../images/Trampt/4%20Groovy%20Mc%20Supersized%20(Skull)%20-%20DESIGNER%20TOY.jpeg","D:\github\ron-english-toys\images\Trampt\4 Groovy Mc Supersized (Skull) - DESIGNER TOY.jpeg","False"
"items\9-boxing-brain-17.html","href","../images/Trampt/9%20Boxing%20Brain%20-%20DESIGNER%20TOY.jpeg","D:\github\ron-english-toys\images\Trampt\9 Boxing Brain - DESIGNER TOY.jpeg","False"
"items\abraham-obama-611.html","href","../images/Trampt/Abraham%20Obama%20-%20ART%20PRINT.jpeg","D:\github\ron-english-toys\images\Trampt\Abraham Obama - ART PRINT.jpeg","False"
"items\abraham-obama-611.html","src","../images/Trampt/Abraham%20Obama%20-%20ART%20PRINT.jpeg","D:\github\ron-english-toys\images\Trampt\Abraham Obama - ART PRINT.jpeg","False"
"items\abraham-obama-black-435.html","href","../images/Trampt/Abraham%20Obama%20-%20Black%20-%20DESIGNER%20TOY.jpeg","D:\github\ron-english-toys\images\Trampt\Abraham Obama - Black - DESIGNER TOY.jpeg","False"
"items\abraham-obama-bronze-703.html","href","../images/Trampt/Abraham%20Obama%20-%20Bronze%20-%20DESIGNER%20TOY.jpeg","D:\github\ron-english-toys\images\Trampt\Abraham Obama - Bronze - DESIGNER TOY.jpeg","False"
"items\abraham-obama-electoral-map-2012-723.html","href","../images/Trampt/Abraham%20Obama%20Electoral%20Map%202012%20-%20ART%20PRINT.jpeg","D:\github\ron-english-toys\images\Trampt\Abraham Obama Electoral Map 2012 - ART PRINT.jpeg","False"
"items\abraham-obama-electoral-map-2012-723.html","src","../images/Trampt/Abraham%20Obama%20Electoral%20Map%202012%20-%20ART%20PRINT.jpeg","D:\github\ron-english-toys\images\Trampt\Abraham Obama Electoral Map 2012 - ART PRINT.jpeg","False"
"items\abraham-obama-white-293.html","href","../images/Trampt/Abraham%20Obama%20-%20White%20-%20DESIGNER%20TOY.jpeg","D:\github\ron-english-toys\images\Trampt\Abraham Obama - White - DESIGNER TOY.jpeg","False"
"items\action-jackson-615.html","href","../images/Trampt/Action%20Jackson%20-%20DESIGNER%20TOY.jpeg","D:\github\ron-english-toys\images\Trampt\Action Jackson - DESIGNER TOY.jpeg","False"
"items\action-jackson-615.html","src","../images/Trampt/Action%20Jackson%20-%20DESIGNER%20TOY.jpeg","D:\github\ron-english-toys\images\Trampt\Action Jackson - DESIGNER TOY.jpeg","False"
"items\alfred-e-newman-skull-300.html","href","../images/Trampt/Alfred%20E.%20Newman%20Skull%20-%20Original%20Art%20-%20Trampt%20item%20300.jpg","D:\github\ron-english-toys\images\Trampt\Alfred E. Newman Skull - Original Art - Trampt item 300.jpg","False"
"items\alfred-e-newman-skull-300.html","src","../images/Trampt/Alfred%20E.%20Newman%20Skull%20-%20Original%20Art%20-%20Trampt%20item%20300.jpg","D:\github\ron-english-toys\images\Trampt\Alfred E. Newman Skull - Original Art - Trampt item 300.jpg","False"
