"IndexFile","ApparentIndexCategory","CardTitle","Href","HrefResolved","HrefExists","ImageSrc","ImageResolved","ImageExists"
"index.html","Section home","Sculptures","sculptures/index.html","sculptures\index.html","True","images/Vinyl-Toys/BIGFOOT%20CHILD%20TOURIST%20(NFS)%20-%20Original%20Art%20-%20Trampt%20item%20921.jpg","images\Vinyl-Toys\BIGFOOT CHILD TOURIST (NFS) - Original Art - Trampt item 921.jpg","True"
"index.html","Section home","Art Toys &amp; Editions","toys/art-toys-and-editions/index.html","toys\art-toys-and-editions\index.html","True","images/Vinyl-Toys/Big%20Yang%20%26%20The%20Yang%20Bangers%20-%20Original%20-%20DESIGNER%20TOY.jpeg","images\Vinyl-Toys\Big Yang & The Yang Bangers - Original - DESIGNER TOY.jpeg","True"
"index.html","Section home","Custom Toys","toys/custom-toys/index.html","toys\custom-toys\index.html","True","images/Vinyl-Toys/D&#39;oh!%20Boy%20-%20Traditional%20-%20Custom%20Toy%20-%20Trampt%20item%20868.jpg","images\Vinyl-Toys\D'oh! Boy - Traditional - Custom Toy - Trampt item 868.jpg","True"
"original-art\index.html","","Action Jackson &amp; Bauhaus","../items/action-jackson-bauhaus-678.html","items\action-jackson-bauhaus-678.html","True","../images/Vinyl-Toys/Action%20Jackson%20and%20Bauhaus%20-%20Original%20Art%20-%20Trampt%20item%20678.jpg","images\Vinyl-Toys\Action Jackson and Bauhaus - Original Art - Trampt item 678.jpg","True"
"original-art\index.html","","Alfred E. Newman Skull","../items/alfred-e-newman-skull-300.html","items\alfred-e-newman-skull-300.html","True","../images/Vinyl-Toys/Alfred%20E.%20Newman%20Skull%20-%20Original%20Art%20-%20Trampt%20item%20300.jpg","D:\github\ron-english-toys\images\Vinyl-Toys\Alfred E. Newman Skull - Original Art - Trampt item 300.jpg","False"
"original-art\index.html","","ALT Football","../items/alt-football-584.html","items\alt-football-584.html","True","../images/Vinyl-Toys/ALT%20Football%20-%20Original%20Art%20-%20Trampt%20item%20584.jpg","D:\github\ron-english-toys\images\Vinyl-Toys\ALT Football - Original Art - Trampt item 584.jpg","False"
"original-art\index.html","","Astro Grin (Drawing)","../items/astro-grin-drawing-675.html","items\astro-grin-drawing-675.html","True","../images/Vinyl-Toys/Astro%20Grin%20(Drawing)%20-%20Original%20Art%20-%20Trampt%20item%20675.jpeg","D:\github\ron-english-toys\images\Vinyl-Toys\Astro Grin (Drawing) - Original Art - Trampt item 675.jpeg","False"
"original-art\index.html","","Backyard soldiers","../items/backyard-soldiers-382.html","items\backyard-soldiers-382.html","True","../images/Vinyl-Toys/Backyard%20soldiers%20-%20Original%20Art%20-%20Trampt%20item%20382.jpg","images\Vinyl-Toys\Backyard soldiers - Original Art - Trampt item 382.jpg","True"
"original-art\index.html","","Bad Man and Sidekick","../items/bad-man-and-sidekick-129.html","items\bad-man-and-sidekick-129.html","True","../images/Vinyl-Toys/Bad%20Man%20and%20Sidekick%20-%20Original%20Art%20-%20Trampt%20item%20129.jpeg","D:\github\ron-english-toys\images\Vinyl-Toys\Bad Man and Sidekick - Original Art - Trampt item 129.jpeg","False"
"original-art\index.html","","Batman and the Boy Blunder (Badly Drawn)","../items/batman-and-the-boy-blunder-badly-drawn-985.html","items\batman-and-the-boy-blunder-badly-drawn-985.html","True","../images/Vinyl-Toys/Batman%20and%20the%20Boy%20Blunder%20(Badly%20Drawn)%20-%20Original%20Art%20-%20Trampt%20item%20985.jpg","D:\github\ron-english-toys\images\Vinyl-Toys\Batman and the Boy Blunder (Badly Drawn) - Original Art - Trampt item 985.jpg","False"
"original-art\index.html","","Batman Brain Dream","../items/batman-brain-dream-1054.html","items\batman-brain-dream-1054.html","True","../images/Vinyl-Toys/Batman%20Brain%20Dream%20-%20Original%20Art%20-%20Trampt%20item%201054.jpeg","D:\github\ron-english-toys\images\Vinyl-Toys\Batman Brain Dream - Original Art - Trampt item 1054.jpeg","False"
"original-art\index.html","","Beau Lief (Drawing)","../items/beau-lief-drawing-747.html","items\beau-lief-drawing-747.html","True","../images/Vinyl-Toys/Beau%20Lief%20(Drawing)%20-%20Original%20Art%20-%20Trampt%20item%20747.jpeg","D:\github\ron-english-toys\images\Vinyl-Toys\Beau Lief (Drawing) - Original Art - Trampt item 747.jpeg","False"
"original-art\index.html","","Big Boner Sketch","../items/big-boner-sketch-406.html","items\big-boner-sketch-406.html","True","../images/Vinyl-Toys/Big%20Boner%20Sketch%20-%20Original%20Art%20-%20Trampt%20item%20406.jpg","D:\github\ron-english-toys\images\Vinyl-Toys\Big Boner Sketch - Original Art - Trampt item 406.jpg","False"
"original-art\index.html","","Big Duck (Drawing)","../items/big-duck-drawing-759.html","items\big-duck-drawing-759.html","True","../images/Vinyl-Toys/Big%20Duck%20(Drawing)%20-%20Original%20Art%20-%20Trampt%20item%20759.jpeg","D:\github\ron-english-toys\images\Vinyl-Toys\Big Duck (Drawing) - Original Art - Trampt item 759.jpeg","False"
"original-art\index.html","","Big Eye Marilyn","../items/big-eye-marilyn-450.html","items\big-eye-marilyn-450.html","True","../images/Vinyl-Toys/Big%20Eye%20Marilyn%20-%20Original%20Art%20-%20Trampt%20item%20450.jpg","D:\github\ron-english-toys\images\Vinyl-Toys\Big Eye Marilyn - Original Art - Trampt item 450.jpg","False"
