"Scope","Target","Status","OldTitle","NewTitle","Detail","BackupPath"
"item page","items/4-groovy-mc-supersized-skull-164.html","Updated","4"" Groovy Mc Supersized (Skull)","MC Supersized Skull - Groovy","h1, title, image-alt","D:\github-backups\ron-english-toys\update-art-toy-title-names-from-spreadsheet-v1-20260513-100719\items\4-groovy-mc-supersized-skull-164.html"
"item page","items/atomic-orange-charlie-grin-sunflower-nft-1001.html","Updated","Atomic Orange Charlie Grin (+NFT)","Charlie Grin - Atomic Orange  (+NFT)","h1, title, image-alt","D:\github-backups\ron-english-toys\update-art-toy-title-names-from-spreadsheet-v1-20260513-100719\items\atomic-orange-charlie-grin-sunflower-nft-1001.html"
"item page","items/blue-ice-shocking-sunflower-bone-grin-1027.html","Updated","Blue Ice Shocking Sunflower - Bone Grin","Shocking Sunflower - Blue Ice Bone Grin","h1, title, image-alt","D:\github-backups\ron-english-toys\update-art-toy-title-names-from-spreadsheet-v1-20260513-100719\items\blue-ice-shocking-sunflower-bone-grin-1027.html"
"item page","items/blue-ice-shocking-sunflower-gold-grin-887.html","Updated","Blue Ice Shocking Sunflower - Gold Grin","Shocking Sunflower - Blue Ice Gold Grin","h1, title, image-alt","D:\github-backups\ron-english-toys\update-art-toy-title-names-from-spreadsheet-v1-20260513-100719\items\blue-ice-shocking-sunflower-gold-grin-887.html"
"item page","items/black-gold-glass-jaw-147.html","Updated","Boxing Brian - Black & Gold Glass Jaw","Boxing Brain - Black & Gold Glass Jaw","h1, title, image-alt","D:\github-backups\ron-english-toys\update-art-toy-title-names-from-spreadsheet-v1-20260513-100719\items\black-gold-glass-jaw-147.html"
"item page","items/charlie-grin-shocking-sunflower-bone-281.html","Updated","Charlie Grin Shocking Sunflower (Bone)","Shocking Sunflower - Charlie Grin  (Bone)","h1, title, image-alt","D:\github-backups\ron-english-toys\update-art-toy-title-names-from-spreadsheet-v1-20260513-100719\items\charlie-grin-shocking-sunflower-bone-281.html"
"item page","items/charlie-grin-shocking-sunflower-silver-1.html","Updated","Charlie Grin Shocking Sunflower (Silver)","Shocking Sunflower - Charlie Grin  (Silver)","h1, title, image-alt","D:\github-backups\ron-english-toys\update-art-toy-title-names-from-spreadsheet-v1-20260513-100719\items\charlie-grin-shocking-sunflower-silver-1.html"
"item page","items/electric-strawberry-charlie-grin-sunflower-nft-1009.html","Updated","Charlie Grin Sunflower - Electric Strawberry (+NFT)","Shocking Sunflower - Charlie Grin Electric Strawberry (+NFT)","h1, title, image-alt","D:\github-backups\ron-english-toys\update-art-toy-title-names-from-spreadsheet-v1-20260513-100719\items\electric-strawberry-charlie-grin-sunflower-nft-1009.html"
"item page","items/lightning-zest-charlie-grin-sunflower-nft-141.html","Updated","Charlie Grin Sunflower - Lightning Zest (+NFT)","Shocking Sunflower - Charlie Grin Lightning Zest (+NFT)","h1, title, image-alt","D:\github-backups\ron-english-toys\update-art-toy-title-names-from-spreadsheet-v1-20260513-100719\items\lightning-zest-charlie-grin-sunflower-nft-141.html"
"item page","items/m-c-charlie-grin-768.html","Updated","Charlie Grin Sunflower - MC","Shocking Sunflower - Charlie Grin MC","h1, title, image-alt","D:\github-backups\ron-english-toys\update-art-toy-title-names-from-spreadsheet-v1-20260513-100719\items\m-c-charlie-grin-768.html"
