"Status","Message","OldFile","NewFile","OldURL","NewURL"
"Converted","","D:\github\ron-english-toys\images\Web-Documentation\4th-of-july-mc-supersized-237617.webp","D:\github\ron-english-toys\images\Web-Documentation\4th-of-july-mc-supersized-237617.jpg","https://ronenglish-archive.github.io/ron-english-toys/images/Web-Documentation/4th-of-july-mc-supersized-237617.webp","https://ronenglish-archive.github.io/ron-english-toys/images/Web-Documentation/4th-of-july-mc-supersized-237617.jpg"
"Converted","","D:\github\ron-english-toys\images\Web-Documentation\7120300967_8d746e46aa_o.webp","D:\github\ron-english-toys\images\Web-Documentation\7120300967_8d746e46aa_o.jpg","https://ronenglish-archive.github.io/ron-english-toys/images/Web-Documentation/7120300967_8d746e46aa_o.webp","https://ronenglish-archive.github.io/ron-english-toys/images/Web-Documentation/7120300967_8d746e46aa_o.jpg"
"Converted","","D:\github\ron-english-toys\images\Web-Documentation\ActionFigure-IronSkinGrin-BlueHelmet.webp","D:\github\ron-english-toys\images\Web-Documentation\ActionFigure-IronSkinGrin-BlueHelmet.jpg","https://ronenglish-archive.github.io/ron-english-toys/images/Web-Documentation/ActionFigure-IronSkinGrin-BlueHelmet.webp","https://ronenglish-archive.github.io/ron-english-toys/images/Web-Documentation/ActionFigure-IronSkinGrin-BlueHelmet.jpg"
"Converted","","D:\github\ron-english-toys\images\Web-Documentation\basketball-grin-292557.webp","D:\github\ron-english-toys\images\Web-Documentation\basketball-grin-292557.jpg","https://ronenglish-archive.github.io/ron-english-toys/images/Web-Documentation/basketball-grin-292557.webp","https://ronenglish-archive.github.io/ron-english-toys/images/Web-Documentation/basketball-grin-292557.jpg"
"Converted","","D:\github\ron-english-toys\images\Web-Documentation\Black Stormtrooperancillary2.webp","D:\github\ron-english-toys\images\Web-Documentation\Black Stormtrooperancillary2.jpg","https://ronenglish-archive.github.io/ron-english-toys/images/Web-Documentation/Black%20Stormtrooperancillary2.webp","https://ronenglish-archive.github.io/ron-english-toys/images/Web-Documentation/Black%20Stormtrooperancillary2.jpg"
"Converted","","D:\github\ron-english-toys\images\Web-Documentation\Black Stormtrooperancillary3.webp","D:\github\ron-english-toys\images\Web-Documentation\Black Stormtrooperancillary3.jpg","https://ronenglish-archive.github.io/ron-english-toys/images/Web-Documentation/Black%20Stormtrooperancillary3.webp","https://ronenglish-archive.github.io/ron-english-toys/images/Web-Documentation/Black%20Stormtrooperancillary3.jpg"
"Converted","","D:\github\ron-english-toys\images\Web-Documentation\BLACK-SKELE-ENGLISH-0124-3-jpg.webp","D:\github\ron-english-toys\images\Web-Documentation\BLACK-SKELE-ENGLISH-0124-3-jpg.jpg","https://ronenglish-archive.github.io/ron-english-toys/images/Web-Documentation/BLACK-SKELE-ENGLISH-0124-3-jpg.webp","https://ronenglish-archive.github.io/ron-english-toys/images/Web-Documentation/BLACK-SKELE-ENGLISH-0124-3-jpg.jpg"
"Converted","","D:\github\ron-english-toys\images\Web-Documentation\BLACK-SKELE-ENGLISH-0124-4-1-jpg.webp","D:\github\ron-english-toys\images\Web-Documentation\BLACK-SKELE-ENGLISH-0124-4-1-jpg.jpg","https://ronenglish-archive.github.io/ron-english-toys/images/Web-Documentation/BLACK-SKELE-ENGLISH-0124-4-1-jpg.webp","https://ronenglish-archive.github.io/ron-english-toys/images/Web-Documentation/BLACK-SKELE-ENGLISH-0124-4-1-jpg.jpg"
"Converted","","D:\github\ron-english-toys\images\Web-Documentation\BLACK-SKELE-ENGLISH-0124-5-1-jpg.webp","D:\github\ron-english-toys\images\Web-Documentation\BLACK-SKELE-ENGLISH-0124-5-1-jpg.jpg","https://ronenglish-archive.github.io/ron-english-toys/images/Web-Documentation/BLACK-SKELE-ENGLISH-0124-5-1-jpg.webp","https://ronenglish-archive.github.io/ron-english-toys/images/Web-Documentation/BLACK-SKELE-ENGLISH-0124-5-1-jpg.jpg"
"Converted","","D:\github\ron-english-toys\images\Web-Documentation\Blanka Grin-ancillary1.webp","D:\github\ron-english-toys\images\Web-Documentation\Blanka Grin-ancillary1.jpg","https://ronenglish-archive.github.io/ron-english-toys/images/Web-Documentation/Blanka%20Grin-ancillary1.webp","https://ronenglish-archive.github.io/ron-english-toys/images/Web-Documentation/Blanka%20Grin-ancillary1.jpg"
"Converted","","D:\github\ron-english-toys\images\Web-Documentation\Blanka Grin-ancillary2.webp","D:\github\ron-english-toys\images\Web-Documentation\Blanka Grin-ancillary2.jpg","https://ronenglish-archive.github.io/ron-english-toys/images/Web-Documentation/Blanka%20Grin-ancillary2.webp","https://ronenglish-archive.github.io/ron-english-toys/images/Web-Documentation/Blanka%20Grin-ancillary2.jpg"
"Converted","","D:\github\ron-english-toys\images\Web-Documentation\Blanka Grin-ancillary3.webp","D:\github\ron-english-toys\images\Web-Documentation\Blanka Grin-ancillary3.jpg","https://ronenglish-archive.github.io/ron-english-toys/images/Web-Documentation/Blanka%20Grin-ancillary3.webp","https://ronenglish-archive.github.io/ron-english-toys/images/Web-Documentation/Blanka%20Grin-ancillary3.jpg"
"Converted","","D:\github\ron-english-toys\images\Web-Documentation\Blanka Grin-ancillary4.webp","D:\github\ron-english-toys\images\Web-Documentation\Blanka Grin-ancillary4.jpg","https://ronenglish-archive.github.io/ron-english-toys/images/Web-Documentation/Blanka%20Grin-ancillary4.webp","https://ronenglish-archive.github.io/ron-english-toys/images/Web-Documentation/Blanka%20Grin-ancillary4.jpg"
"Converted","","D:\github\ron-english-toys\images\Web-Documentation\Blanka Grin-ancillary5.webp","D:\github\ron-english-toys\images\Web-Documentation\Blanka Grin-ancillary5.jpg","https://ronenglish-archive.github.io/ron-english-toys/images/Web-Documentation/Blanka%20Grin-ancillary5.webp","https://ronenglish-archive.github.io/ron-english-toys/images/Web-Documentation/Blanka%20Grin-ancillary5.jpg"
"Converted","","D:\github\ron-english-toys\images\Web-Documentation\Blanka Grin-ancillary6.webp","D:\github\ron-english-toys\images\Web-Documentation\Blanka Grin-ancillary6.jpg","https://ronenglish-archive.github.io/ron-english-toys/images/Web-Documentation/Blanka%20Grin-ancillary6.webp","https://ronenglish-archive.github.io/ron-english-toys/images/Web-Documentation/Blanka%20Grin-ancillary6.jpg"
"Converted","","D:\github\ron-english-toys\images\Web-Documentation\Blanka Grin-ancillary7.webp","D:\github\ron-english-toys\images\Web-Documentation\Blanka Grin-ancillary7.jpg","https://ronenglish-archive.github.io/ron-english-toys/images/Web-Documentation/Blanka%20Grin-ancillary7.webp","https://ronenglish-archive.github.io/ron-english-toys/images/Web-Documentation/Blanka%20Grin-ancillary7.jpg"
"Converted","","D:\github\ron-english-toys\images\Web-Documentation\BOB-GOLD-RON-CLUTTER-3-scaled-jpg.webp","D:\github\ron-english-toys\images\Web-Documentation\BOB-GOLD-RON-CLUTTER-3-scaled-jpg.jpg","https://ronenglish-archive.github.io/ron-english-toys/images/Web-Documentation/BOB-GOLD-RON-CLUTTER-3-scaled-jpg.webp","https://ronenglish-archive.github.io/ron-english-toys/images/Web-Documentation/BOB-GOLD-RON-CLUTTER-3-scaled-jpg.jpg"
"Converted","","D:\github\ron-english-toys\images\Web-Documentation\BOB-GOLD-RON-CLUTTER-5-scaled-jpg.webp","D:\github\ron-english-toys\images\Web-Documentation\BOB-GOLD-RON-CLUTTER-5-scaled-jpg.jpg","https://ronenglish-archive.github.io/ron-english-toys/images/Web-Documentation/BOB-GOLD-RON-CLUTTER-5-scaled-jpg.webp","https://ronenglish-archive.github.io/ron-english-toys/images/Web-Documentation/BOB-GOLD-RON-CLUTTER-5-scaled-jpg.jpg"
"Skipped - JPG already exists","","D:\github\ron-english-toys\images\Web-Documentation\Boxing Brain Glove - Joker.webp","D:\github\ron-english-toys\images\Web-Documentation\Boxing Brain Glove - Joker.jpg","https://ronenglish-archive.github.io/ron-english-toys/images/Web-Documentation/Boxing%20Brain%20Glove%20-%20Joker.webp","https://ronenglish-archive.github.io/ron-english-toys/images/Web-Documentation/Boxing%20Brain%20Glove%20-%20Joker.jpg"
"Converted","","D:\github\ron-english-toys\images\Web-Documentation\BOXING-622-RONENGLISH-0124-2-1-jpg.webp","D:\github\ron-english-toys\images\Web-Documentation\BOXING-622-RONENGLISH-0124-2-1-jpg.jpg","https://ronenglish-archive.github.io/ron-english-toys/images/Web-Documentation/BOXING-622-RONENGLISH-0124-2-1-jpg.webp","https://ronenglish-archive.github.io/ron-english-toys/images/Web-Documentation/BOXING-622-RONENGLISH-0124-2-1-jpg.jpg"
"Converted","","D:\github\ron-english-toys\images\Web-Documentation\BOXING-622-RONENGLISH-0124-6-1-jpg.webp","D:\github\ron-english-toys\images\Web-Documentation\BOXING-622-RONENGLISH-0124-6-1-jpg.jpg","https://ronenglish-archive.github.io/ron-english-toys/images/Web-Documentation/BOXING-622-RONENGLISH-0124-6-1-jpg.webp","https://ronenglish-archive.github.io/ron-english-toys/images/Web-Documentation/BOXING-622-RONENGLISH-0124-6-1-jpg.jpg"
"Converted","","D:\github\ron-english-toys\images\Web-Documentation\BOXING-622-RONENGLISH-0124-7-1-jpg.webp","D:\github\ron-english-toys\images\Web-Documentation\BOXING-622-RONENGLISH-0124-7-1-jpg.jpg","https://ronenglish-archive.github.io/ron-english-toys/images/Web-Documentation/BOXING-622-RONENGLISH-0124-7-1-jpg.webp","https://ronenglish-archive.github.io/ron-english-toys/images/Web-Documentation/BOXING-622-RONENGLISH-0124-7-1-jpg.jpg"
"Converted","","D:\github\ron-english-toys\images\Web-Documentation\Boxing-Brain-Vinyl-version-by-Ron-English-x-ToyQube-2017.webp","D:\github\ron-english-toys\images\Web-Documentation\Boxing-Brain-Vinyl-version-by-Ron-English-x-ToyQube-2017.jpg","https://ronenglish-archive.github.io/ron-english-toys/images/Web-Documentation/Boxing-Brain-Vinyl-version-by-Ron-English-x-ToyQube-2017.webp","https://ronenglish-archive.github.io/ron-english-toys/images/Web-Documentation/Boxing-Brain-Vinyl-version-by-Ron-English-x-ToyQube-2017.jpg"
"Converted","","D:\github\ron-english-toys\images\Web-Documentation\bugs-grin.webp","D:\github\ron-english-toys\images\Web-Documentation\bugs-grin.jpg","https://ronenglish-archive.github.io/ron-english-toys/images/Web-Documentation/bugs-grin.webp","https://ronenglish-archive.github.io/ron-english-toys/images/Web-Documentation/bugs-grin.jpg"
"Converted","","D:\github\ron-english-toys\images\Web-Documentation\canbotgrindbotancillary.webp","D:\github\ron-english-toys\images\Web-Documentation\canbotgrindbotancillary.jpg","https://ronenglish-archive.github.io/ron-english-toys/images/Web-Documentation/canbotgrindbotancillary.webp","https://ronenglish-archive.github.io/ron-english-toys/images/Web-Documentation/canbotgrindbotancillary.jpg"
