"ItemNumber","Title","OriginalCategory","CurrentImageFile","PagePath","LargestDetectedInches","DetectedSizesInches","ProposedPublicSection","Confidence","Reason","NeedsHumanReview","Decision","ReviewerNotes"
"232","CAPTAIN CAPTION","Original Art","Captain Caption - ART PRINT.jpeg","items/captain-caption-232.html","96","96; 72","Review candidate","Size candidate","meets 19-inch threshold; largest detected size: 96 in; sculpture/statue wording","Yes","",""
"116","SOUTH AMERICAN BUTTERFLY","Original Art","SOUTH AMERICAN BUTTERFLY - Original Art - Trampt item 116.jpg","items/south-american-butterfly-116.html","96","96; 72","Review candidate","Size candidate","meets 19-inch threshold; largest detected size: 96 in; sculpture/statue wording","Yes","",""
"172","URBAN BIGFOOT","Original Art","Urban Bigfoot - DESIGNER TOY.jpeg","items/urban-bigfoot-172.html","96","96; 72","Review candidate","Size candidate","meets 19-inch threshold; largest detected size: 96 in; sculpture/statue wording","Yes","",""
"351","Guernica Trilogy","Original Art","Guernica Trilogy - Original Art - Trampt item 351.jpg","items/guernica-trilogy-351.html","88","88; 74","Review candidate","Size candidate","meets 19-inch threshold; largest detected size: 88 in; sculpture/statue wording","Yes","",""
"462","84"" Black Starskull Walkimg Stick","Custom Toy","84 Black Starskull Walkimg Stick - Custom Toy - Trampt item 462.jpeg","items/84-black-starskull-walkimg-stick-462.html","84","84","Large Custom Toy / Editioned Sculpture review","Size candidate","meets 19-inch threshold; largest detected size: 84 in; sculpture/statue wording; large size in title/text","Yes","",""
"71","Purple Dinosaurus","Original Art","Purple Dinosaurus - Original Art - Trampt item 71.jpeg","items/purple-dinosaurus-71.html","84","84; 58","Review candidate","Size candidate","meets 19-inch threshold; largest detected size: 84 in; sculpture/statue wording","Yes","",""
"864","Brown acid trip","Original Art","Brown acid trip - Original Art - Trampt item 864.jpg","items/brown-acid-trip-864.html","80","80; 50","Review candidate","Size candidate","meets 19-inch threshold; largest detected size: 80 in; sculpture/statue wording","Yes","",""
"450","Big Eye Marilyn","Original Art","Big Eye Marilyn - Original Art - Trampt item 450.jpg","items/big-eye-marilyn-450.html","70","70; 46","Review candidate","Size candidate","meets 19-inch threshold; largest detected size: 70 in; sculpture/statue wording","Yes","",""
"26","DINOGRENADE","Original Art","DINOGRENADE - Original Art - Trampt item 26.jpg","items/dinogrenade-26.html","70","70","Review candidate","Size candidate","meets 19-inch threshold; largest detected size: 70 in; sculpture/statue wording","Yes","",""
"253","Texas Cartoon Cowgirl","Original Art","Texas Cartoon Cowgirl - Original Art - Trampt item 253.jpg","items/texas-cartoon-cowgirl-253.html","70","70; 46","Review candidate","Size candidate","meets 19-inch threshold; largest detected size: 70 in; sculpture/statue wording","Yes","",""
